Species,Period,Status,Site,Status_Site,ID,total.blastate.ml,surface.area.cm2,mg.prot..ml,cells..ml,ug.chla..ml,g.AFDW..ml,CAT,POX,SOD,PPO,MEL
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,1,11,3.540651,0.229264943,550556,0.998915,0.01,185.2687008,0.118624266,18042.4799,0.432319546,0.015094547
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,2,13,4.072836,0.177024422,541111,1.24537,0.005,153.2923378,0.528707076,18010.70404,0.153805695,0.017919319
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,3,11.5,3.292298,0.228811485,631111,1.01302,0.009,251.8111718,3.901610575,14261.74148,0.168263529,0.018267048
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,4,28,9.536602,0.101267877,24815,0.113591667,0.01,186.3757256,0.274308274,19073.8697,0.707105772,0.013999661
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,5,21,9.394686,0.286413168,261667,1.304706667,0.01,67.92907021,0.791381112,15997.06014,0.422069927,0.012004427
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,6,22,8.081963,0.165414008,296667,1.370124167,0.008,0.138994286,0.504305211,9833.22568,NA,0.014327581
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,7,14,3.434214,0.144226535,469444,1.279080556,0.01,191.3099189,1.011723417,43155.40353,0.305765299,0.017186129
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,8,29,10.955762,0.217457096,750556,1.310909167,0.011,434.8665091,0.077493709,25877.87782,0.723274613,0.010328592
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,9,16.5,3.824483,0.257279237,443889,1.480065833,0.011,194.2556698,1.398192172,11792.54546,0.400469857,0.019857207
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,10,14.5,6.024181,0.206691023,288333,1.245643333,0.011,192.524005,1.306442847,4389.920444,0.247036466,0.013184285
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,11,21.5,5.775828,0.13982824,769444,1.253843333,0.01,176.7418195,0.380056101,9597.27435,0.351551893,0.011751317
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,12,22,10.813846,0.324768904,183889,1.05413,0.009,96.91180746,1.238719229,13431.78879,0.443720321,0.01082173
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,13,13,3.93092,0.150359003,869444,1.5006625,0.01,192.7561206,0.183759337,14196.88953,0.226165338,0.013281472
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,14,20,5.846786,0.165059773,355833,1.061970833,0.008,204.0909262,1.206721243,23405.17005,0.542198038,0.011733248
