,Status,Year,Event,Site,Sample.ID,Sample.Name,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,C.reps,D.reps,C.D,fail,propC,propD,syms,dom
1,Bleaching,2014,2014 Bleach,Lilipuna,1,Bleaching-2014-1,Wall_qPCR_plate1.txt,0,28.0212,NA,0.056992807,0,2,0,FALSE,NA,1,D,D
2,Bleaching,2014,2014 Bleach,Lilipuna,10,Bleaching-2014-10,Wall_qPCR_plate1.txt,29.06713,0,0.405172186,NA,2,0,1,FALSE,1,NA,C,C
3,Bleaching,2014,2014 Bleach,Lilipuna,11,Bleaching-2014-11,Wall_qPCR_plate1.txt,36.77063,26.81665,NA,0.219839498,1,2,0,FALSE,NA,1,D,D
4,Bleaching,2014,2014 Bleach,Lilipuna,12,Bleaching-2014-12,Wall_qPCR_plate1.txt,26.29548,0,0.19183807,NA,2,0,1,FALSE,1,NA,C,C
5,Bleaching,2014,2014 Bleach,Lilipuna,13,Bleaching-2014-13,Wall_qPCR_plate1.txt,0,26.9208,NA,0.226132749,0,2,0,FALSE,NA,1,D,D
6,Bleaching,2014,2014 Bleach,Lilipuna,14,Bleaching-2014-14,Wall_qPCR_plate1.txt,29.57483,31.99255,0.443638795,0.701520638,2,2,0.485750835,FALSE,0.326939635,0.673060365,DC,D
7,Bleaching,2014,2014 Bleach,Lilipuna,15,Bleaching-2014-15,Wall_qPCR_plate1.txt,30.84298,0,0.002899138,NA,2,0,1,FALSE,1,NA,C,C
8,Bleaching,2014,2014 Bleach,Lilipuna,16,Bleaching-2014-16,Wall_qPCR_plate1.txt,0,28.42745,NA,0.024960869,0,2,0,FALSE,NA,1,D,D
9,Bleaching,2014,2014 Bleach,Lilipuna,17,Bleaching-2014-17,Wall_qPCR_plate1.txt,0,30.14825,NA,0.339623387,0,2,0,FALSE,NA,1,D,D
10,Bleaching,2014,2014 Bleach,Lilipuna,18,Bleaching-2014-18,Wall_qPCR_plate1.txt,27.10183,0,0.181302179,NA,2,0,1,FALSE,1,NA,C,C
11,Bleaching,2014,2014 Bleach,Lilipuna,19,Bleaching-2014-19,Wall_qPCR_plate1.txt,31.76333,0,0.692116117,NA,2,0,1,FALSE,1,NA,C,C
12,Bleaching,2014,2014 Bleach,Lilipuna,2,Bleaching-2014-2,Wall_qPCR_plate1.txt,30.61413,33.7495,0.353977655,0.944836081,2,2,0.798817798,FALSE,0.444079327,0.555920673,DC,D
13,Bleaching,2014,2014 Bleach,Lilipuna,20,Bleaching-2014-20,Wall_qPCR_plate1.txt,35.75768,29.3394,0.61214234,0.065195245,2,2,0.001062949,FALSE,0.001061821,0.998938179,DC,D
14,Bleaching,2014,2014 Bleach,Lilipuna,21,Bleaching-2014-21,Wall_qPCR_plate1.txt,0,30.6839,NA,0.03648671,0,2,0,FALSE,NA,1,D,D
15,Bleaching,2014,2014 Bleach,Lilipuna,22,Bleaching-2014-22,Wall_qPCR_plate1.txt,0,31.6823,NA,0.273508903,0,2,0,FALSE,NA,1,D,D
16,Bleaching,2014,2014 Bleach,Lilipuna,23,Bleaching-2014-23,Wall_qPCR_plate1.txt,0,25.839,NA,0.130814755,0,2,0,FALSE,NA,1,D,D
17,Bleaching,2014,2014 Bleach,Lilipuna,24,Bleaching-2014-24,Wall_qPCR_plate1.txt,33.14963,31.22265,0.559038621,0.018596908,2,2,0.02390719,FALSE,0.023348982,0.976651018,DC,D
18,Bleaching,2014,2014 Bleach,Lilipuna,25,Bleaching-2014-25,Wall_qPCR_plate1.txt,0,30.0277,NA,0.490307842,0,2,0,FALSE,NA,1,D,D
19,Bleaching,2014,2014 Bleach,Lilipuna,26,Bleaching-2014-26,Wall_qPCR_plate1.txt,26.53383,30.94205,0.454952503,0.160159686,2,2,1.930250894,FALSE,0.658732294,0.341267706,CD,C
20,Bleaching,2014,2014 Bleach,Lilipuna,27,Bleaching-2014-27,Wall_qPCR_plate1.txt,37.07393,29.38265,NA,0.199050559,1,2,0,FALSE,NA,1,D,D
163,Bleaching,2014,2014 Bleach,Lilipuna,28,Bleaching-2014-28,Wall_qPCR_plate2.txt,0,30.87655,NA,0.578625479,0,2,0,FALSE,NA,1,D,D
21,Bleaching,2014,2014 Bleach,Lilipuna,29,Bleaching-2014-29,Wall_qPCR_plate1.txt,29.48083,0,0.350866385,NA,2,0,1,FALSE,1,NA,C,C
22,Bleaching,2014,2014 Bleach,Lilipuna,3,Bleaching-2014-3,Wall_qPCR_plate1.txt,0,27.2525,NA,0.078630274,0,2,0,FALSE,NA,1,D,D
164,Bleaching,2014,2014 Bleach,Lilipuna,30,Bleaching-2014-30,Wall_qPCR_plate2.txt,29.99058,34.6213,0.40453579,0.68193378,2,2,2.252127307,FALSE,0.692508962,0.307491038,CD,C
23,Bleaching,2014,2014 Bleach,Lilipuna,31,Bleaching-2014-31,Wall_qPCR_plate1.txt,0,30.6964,NA,0.275630223,0,2,0,FALSE,NA,1,D,D
24,Bleaching,2014,2014 Bleach,Lilipuna,32,Bleaching-2014-32,Wall_qPCR_plate1.txt,30.28178,0,0.024960869,NA,2,0,1,FALSE,1,NA,C,C
25,Bleaching,2014,2014 Bleach,Lilipuna,33,Bleaching-2014-33,Wall_qPCR_plate1.txt,32.10143,31.17915,0.260922402,0.699116475,2,2,0.047970403,FALSE,0.045774578,0.954225422,DC,D
26,Bleaching,2014,2014 Bleach,Lilipuna,34,Bleaching-2014-34,Wall_qPCR_plate1.txt,27.70168,0,0.0490025,NA,2,0,1,FALSE,1,NA,C,C
27,Bleaching,2014,2014 Bleach,Lilipuna,35,Bleaching-2014-35,Wall_qPCR_plate1.txt,0,30.1085,NA,0.191060252,0,2,0,FALSE,NA,1,D,D
28,Bleaching,2014,2014 Bleach,Lilipuna,4,Bleaching-2014-4,Wall_qPCR_plate1.txt,29.98768,0,0.576362737,NA,2,0,1,FALSE,1,NA,C,C
29,Bleaching,2014,2014 Bleach,Lilipuna,41,Bleaching-2014-41,Wall_qPCR_plate1.txt,0,26.62835,NA,0.113773481,0,2,0,FALSE,NA,1,D,D
30,Bleaching,2014,2014 Bleach,Lilipuna,42,Bleaching-2014-42,Wall_qPCR_plate1.txt,28.48048,37.3349,0.007000357,NA,2,1,1,FALSE,1,NA,C,C
31,Bleaching,2014,2014 Bleach,Lilipuna,43,Bleaching-2014-43,Wall_qPCR_plate1.txt,0,29.63925,NA,1.507480947,0,2,0,FALSE,NA,1,D,D
32,Bleaching,2014,2014 Bleach,Lilipuna,44,Bleaching-2014-44,Wall_qPCR_plate1.txt,0,26.87355,NA,0.056073568,0,2,0,FALSE,NA,1,D,D
165,Bleaching,2014,2014 Bleach,Lilipuna,45,Bleaching-2014-45,Wall_qPCR_plate2.txt,28.75988,0,0.303843784,NA,2,0,1,FALSE,1,NA,C,C
166,Bleaching,2014,2014 Bleach,Reef 14,46,Bleaching-2014-46,Wall_qPCR_plate2.txt,0,31.0717,NA,0.271246161,0,2,0,FALSE,NA,1,D,D
167,Bleaching,2014,2014 Bleach,Reef 14,47,Bleaching-2014-47,Wall_qPCR_plate2.txt,28.81388,33.16095,0.036557421,0.593757564,2,2,1.85014505,FALSE,0.649140664,0.350859336,CD,C
33,Bleaching,2014,2014 Bleach,Reef 14,48,Bleaching-2014-48,Wall_qPCR_plate1.txt,0,26.5426,NA,0.293449314,0,2,0,FALSE,NA,1,D,D
34,Bleaching,2014,2014 Bleach,Reef 14,49,Bleaching-2014-49,Wall_qPCR_plate1.txt,27.46778,36.566,0.505369217,NA,2,1,1,FALSE,1,NA,C,C
35,Bleaching,2014,2014 Bleach,Lilipuna,5,Bleaching-2014-5,Wall_qPCR_plate1.txt,25.64033,0,0.287509617,NA,2,0,1,FALSE,1,NA,C,C
168,Bleaching,2014,2014 Bleach,Reef 14,50,Bleaching-2014-50,Wall_qPCR_plate2.txt,28.90228,27.81585,0.241194123,0.265094332,2,2,0.042811387,FALSE,0.041053816,0.958946184,DC,D
169,Bleaching,2014,2014 Bleach,Reef 14,51,Bleaching-2014-51,Wall_qPCR_plate2.txt,27.95623,0,0.518309271,NA,2,0,1,FALSE,1,NA,C,C
170,Bleaching,2014,2014 Bleach,Reef 14,52,Bleaching-2014-52,Wall_qPCR_plate2.txt,31.94833,29.5415,0.374059487,0.420304271,2,2,0.017142703,FALSE,0.016853783,0.983146217,DC,D
128,Bleaching,2014,2014 Bleach,Reef 14,53,Bleaching-2014-53,Wall_qPCR_plate12.txt,27.78813,35.8336,0.014000714,0.615890006,2,2,24.01790452,FALSE,0.960028627,0.039971373,CD,C
172,Bleaching,2014,2014 Bleach,Reef 14,54,Bleaching-2014-54,Wall_qPCR_plate2.txt,27.35613,0,0.009050967,NA,2,0,1,FALSE,1,NA,C,C
173,Bleaching,2014,2014 Bleach,Reef 14,55,Bleaching-2014-55,Wall_qPCR_plate2.txt,29.78233,0,0.518167849,NA,2,0,1,FALSE,1,NA,C,C
36,Bleaching,2014,2014 Bleach,Reef 14,56,Bleaching-2014-56,Wall_qPCR_plate1.txt,25.72898,36.826,0.630527117,NA,2,1,1,FALSE,1,NA,C,C
174,Bleaching,2014,2014 Bleach,Reef 14,57,Bleaching-2014-57,Wall_qPCR_plate2.txt,25.73968,0,0.118723229,NA,2,0,1,FALSE,1,NA,C,C
175,Bleaching,2014,2014 Bleach,Reef 14,58,Bleaching-2014-58,Wall_qPCR_plate2.txt,0,28.3534,NA,0.069720729,0,2,0,FALSE,NA,1,D,D
176,Bleaching,2014,2014 Bleach,Reef 14,59,Bleaching-2014-59,Wall_qPCR_plate2.txt,26.21763,38.4127,0.108328759,NA,2,1,1,FALSE,1,NA,C,C
129,Bleaching,2014,2014 Bleach,Lilipuna,6,Bleaching-2014-6,Wall_qPCR_plate12.txt,26.21803,0,0.185544819,NA,2,0,1,FALSE,1,NA,C,C
177,Bleaching,2014,2014 Bleach,Reef 14,60,Bleaching-2014-60,Wall_qPCR_plate2.txt,29.08933,31.14435,0.349452171,0.341886129,2,2,0.377772184,FALSE,0.274190601,0.725809399,DC,D
178,Bleaching,2014,2014 Bleach,Reef 14,61,Bleaching-2014-61,Wall_qPCR_plate2.txt,36.97903,29.4441,NA,0.393009949,1,2,0,FALSE,NA,1,D,D
179,Bleaching,2014,2014 Bleach,Reef 14,62,Bleaching-2014-62,Wall_qPCR_plate2.txt,29.37193,28.59415,0.669205858,0.293520025,2,2,0.053023966,FALSE,0.050353997,0.949646003,DC,D
180,Bleaching,2014,2014 Bleach,Reef 14,63,Bleaching-2014-63,Wall_qPCR_plate2.txt,0,27.2604,NA,0.287651039,0,2,0,FALSE,NA,1,D,D
181,Bleaching,2014,2014 Bleach,Reef 14,64,Bleaching-2014-64,Wall_qPCR_plate2.txt,0,29.88045,NA,1.308783941,0,2,0,FALSE,NA,1,D,D
38,Bleaching,2014,2014 Bleach,Reef 14,65,Bleaching-2014-65,Wall_qPCR_plate1.txt,25.25548,36.3199,0.081105148,NA,2,1,1,FALSE,1,NA,C,C
39,Bleaching,2014,2014 Bleach,Reef 14,66,Bleaching-2014-66,Wall_qPCR_plate1.txt,27.40923,37.7118,3.008880775,NA,2,1,1,FALSE,1,NA,C,C
182,Bleaching,2014,2014 Bleach,Reef 14,67,Bleaching-2014-67,Wall_qPCR_plate2.txt,33.19338,28.22055,1.175706445,0.319541554,2,2,0.002894918,FALSE,0.002886562,0.997113438,DC,D
183,Bleaching,2014,2014 Bleach,Reef 14,68,Bleaching-2014-68,Wall_qPCR_plate2.txt,25.84283,0,0.776968931,NA,2,0,1,FALSE,1,NA,C,C
184,Bleaching,2014,2014 Bleach,Reef 14,69,Bleaching-2014-69,Wall_qPCR_plate2.txt,32.52043,26.32435,0.193322994,0.215314015,2,2,0.001239942,FALSE,0.001238406,0.998761594,DC,D
40,Bleaching,2014,2014 Bleach,Lilipuna,7,Bleaching-2014-7,Wall_qPCR_plate1.txt,26.96918,36.856,0.614546504,NA,2,1,1,FALSE,1,NA,C,C
185,Bleaching,2014,2014 Bleach,Reef 14,70,Bleaching-2014-70,Wall_qPCR_plate2.txt,25.44678,0,0.382049794,NA,2,0,1,FALSE,1,NA,C,C
186,Bleaching,2014,2014 Bleach,Reef 14,71,Bleaching-2014-71,Wall_qPCR_plate2.txt,36.75348,28.3622,0.003323402,0.110025815,2,2,0.000270757,FALSE,0.000270684,0.999729316,DC,D
