Period,Status,Site,Habitat,Transect,Point,Benthic,Coral-Species,coral,CCA,Macro algae,rubble/rock,sand,coral-cover,coral-pigmented,coral-pale,coral-white,MC,MC-pigmented,MC-pale,MC-white
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,1,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,2,coral,PC,1,0,0,0,0,0.05,0,0.125,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,3,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,4,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,5,coral,PC,1,0,0,0,0,0.05,0,0.125,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,6,coral,PC,1,0,0,0,0,0.05,0,0.125,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,7,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,8,coral,MC,1,0,0,0,0,0.05,0.125,0,0,0.125,0.333333333,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,9,coral,MC,1,0,0,0,0,0.05,0,0,0.125,0.125,0,0,0.333333333
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,10,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,11,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,12,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,13,sediment,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,14,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,15,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,16,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,17,coral,PC,1,0,0,0,0,0.05,0,0,0.125,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,18,coral,MC,1,0,0,0,0,0.05,0,0.125,0,0.125,0,0.333333333,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,19,coral,PC,1,0,0,0,0,0.05,0,0.125,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,1-Lil-Flat,20,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,1,coral,MC,1,0,0,0,0,0.05,0.25,0,0,0.25,0.25,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,2,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,3,coral,MC,1,0,0,0,0,0.05,0.25,0,0,0.25,0.25,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,4,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,5,coral,MC,1,0,0,0,0,0.05,0.25,0,0,0.25,0.25,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,6,coral,MC,1,0,0,0,0,0.05,0.25,0,0,0.25,0.25,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,7,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,8,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,9,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,10,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,11,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,12,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,13,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,14,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,15,sand,,0,0,0,0,1,0,0,0,0,0,0,0,0
2015 Oct,Bleaching,Lilipuna,Flat,2-Lil-Flat,16,rubble,,0,0,0,0,0,0,0,0,0,0,0,0,0
