Scan No ,Date,Time,Raw,Calibrated
1,21/01/2016 , 12:30:00,6919,1280.8
2,21/01/2016 , 12:45:00,5771,1068.3
3,21/01/2016 , 13:00:00,6004,1111.4
4,21/01/2016 , 13:15:00,6233,1153.8
5,21/01/2016 , 13:30:00,6271,1160.9
6,21/01/2016 , 13:45:00,6119,1132.7
7,21/01/2016 , 14:00:00,6558,1214
8,21/01/2016 , 14:15:00,6693,1239
9,21/01/2016 , 14:30:00,6202,1148.1
10,21/01/2016 , 14:45:00,7045,1304.1
11,21/01/2016 , 15:00:00,5041,933.2
12,21/01/2016 , 15:15:00,5070,938.5
13,21/01/2016 , 15:30:00,4010,742.3
14,21/01/2016 , 15:45:00,3376,625
15,21/01/2016 , 16:00:00,2864,530.2
16,21/01/2016 , 16:15:00,3157,584.4
17,21/01/2016 , 16:30:00,2310,427.6
18,21/01/2016 , 16:45:00,2165,400.8
19,21/01/2016 , 17:00:00,1821,337.1
20,21/01/2016 , 17:15:00,1382,255.8
21,21/01/2016 , 17:30:00,1018,188.4
22,21/01/2016 , 17:45:00,729,135
23,21/01/2016 , 18:00:00,379,70.2
24,21/01/2016 , 18:15:00,148,27.4
25,21/01/2016 , 18:30:00,33,6.1
26,21/01/2016 , 18:45:00,1,0.2
27,21/01/2016 , 19:00:00,0,0
28,21/01/2016 , 19:15:00,0,0
29,21/01/2016 , 19:30:00,0,0
30,21/01/2016 , 19:45:00,0,0
31,21/01/2016 , 20:00:00,0,0
32,21/01/2016 , 20:15:00,0,0
33,21/01/2016 , 20:30:00,0,0
34,21/01/2016 , 20:45:00,0,0
35,21/01/2016 , 21:00:00,0,0
36,21/01/2016 , 21:15:00,0,0
37,21/01/2016 , 21:30:00,0,0
38,21/01/2016 , 21:45:00,0,0
39,21/01/2016 , 22:00:00,0,0
40,21/01/2016 , 22:15:00,0,0
41,21/01/2016 , 22:30:00,0,0
42,21/01/2016 , 22:45:00,0,0
43,21/01/2016 , 23:00:00,0,0
44,21/01/2016 , 23:15:00,0,0
45,21/01/2016 , 23:30:00,0,0
46,21/01/2016 , 23:45:00,0,0
47,21/01/2016 , 24:00:00,0,0
48,22/01/2016 , 00:15:00,0,0
49,22/01/2016 , 00:30:00,0,0
50,22/01/2016 , 00:45:00,0,0
51,22/01/2016 , 01:00:00,0,0
52,22/01/2016 , 01:15:00,0,0
53,22/01/2016 , 01:30:00,0,0
54,22/01/2016 , 01:45:00,0,0
55,22/01/2016 , 02:00:00,0,0
56,22/01/2016 , 02:15:00,0,0
57,22/01/2016 , 02:30:00,0,0
58,22/01/2016 , 02:45:00,0,0
59,22/01/2016 , 03:00:00,0,0
60,22/01/2016 , 03:15:00,0,0
61,22/01/2016 , 03:30:00,0,0
62,22/01/2016 , 03:45:00,0,0
63,22/01/2016 , 04:00:00,0,0
64,22/01/2016 , 04:15:00,0,0
65,22/01/2016 , 04:30:00,0,0
66,22/01/2016 , 04:45:00,0,0
67,22/01/2016 , 05:00:00,0,0
68,22/01/2016 , 05:15:00,0,0
69,22/01/2016 , 05:30:00,0,0
70,22/01/2016 , 05:45:00,0,0
71,22/01/2016 , 06:00:00,0,0
72,22/01/2016 , 06:15:00,0,0
73,22/01/2016 , 06:30:00,0,0
74,22/01/2016 , 06:45:00,0,0
75,22/01/2016 , 07:00:00,0,0
76,22/01/2016 , 07:15:00,27,5
77,22/01/2016 , 07:30:00,202,37.4
78,22/01/2016 , 07:45:00,613,113.5
79,22/01/2016 , 08:00:00,1389,257.1
80,22/01/2016 , 08:15:00,1659,307.1
81,22/01/2016 , 08:30:00,2399,444.1
82,22/01/2016 , 08:45:00,3222,596.4
83,22/01/2016 , 09:00:00,4041,748.1
84,22/01/2016 , 09:15:00,4738,877.1
85,22/01/2016 , 09:30:00,4967,919.5
86,22/01/2016 , 09:45:00,6177,1143.5
87,22/01/2016 , 10:00:00,7871,1457.1
88,22/01/2016 , 10:15:00,6277,1162
89,22/01/2016 , 10:30:00,6942,1285.1
90,22/01/2016 , 10:45:00,4724,874.5
91,22/01/2016 , 11:00:00,9416,1743.1
92,22/01/2016 , 11:15:00,6625,1226.4
93,22/01/2016 , 11:30:00,7622,1411
94,22/01/2016 , 11:45:00,7080,1310.6
95,22/01/2016 , 12:00:00,7121,1318.2
96,22/01/2016 , 12:15:00,6116,1132.2
97,22/01/2016 , 12:30:00,4202,777.9
98,22/01/2016 , 12:45:00,3974,735.7
99,22/01/2016 , 13:00:00,4246,786
100,22/01/2016 , 13:15:00,4462,826
101,22/01/2016 , 13:30:00,4554,843
102,22/01/2016 , 13:45:00,5925,1096.8
103,22/01/2016 , 14:00:00,7061,1307.1
104,22/01/2016 , 14:15:00,4200,777.5
105,22/01/2016 , 14:30:00,4335,802.5
106,22/01/2016 , 14:45:00,6139,1136.4
107,22/01/2016 , 15:00:00,4425,819.1
108,22/01/2016 , 15:15:00,3402,629.8
109,22/01/2016 , 15:30:00,3348,619.8
110,22/01/2016 , 15:45:00,3077,569.6
111,22/01/2016 , 16:00:00,2981,551.8
112,22/01/2016 , 16:15:00,2551,472.2
113,22/01/2016 , 16:30:00,2089,386.7
114,22/01/2016 , 16:45:00,2054,380.2
115,22/01/2016 , 17:00:00,1228,227.3
116,22/01/2016 , 17:15:00,1209,223.8
117,22/01/2016 , 17:30:00,1011,187.2
118,22/01/2016 , 17:45:00,738,136.6
119,22/01/2016 , 18:00:00,405,75
120,22/01/2016 , 18:15:00,167,30.9
121,22/01/2016 , 18:30:00,31,5.7
122,22/01/2016 , 18:45:00,0,0
123,22/01/2016 , 19:00:00,0,0
124,22/01/2016 , 19:15:00,0,0
125,22/01/2016 , 19:30:00,0,0
126,22/01/2016 , 19:45:00,0,0
