Scan No ,Date,Time,Raw,Calibrated
1,10/10/2014, 10:30:00,4448,796.2
3,10/10/2014, 11:00:00,8118,1453
4,10/10/2014, 11:15:00,7451,1333.7
5,10/10/2014, 11:30:00,3482,623.2
6,10/10/2014, 11:45:00,4567,817.5
7,10/10/2014, 12:00:00,7212,1290.9
8,10/10/2014, 12:15:00,3980,712.4
9,10/10/2014, 12:30:00,1536,274.9
10,10/10/2014, 12:45:00,5165,924.5
11,10/10/2014, 13:00:00,4107,735.1
12,10/10/2014, 13:15:00,3913,700.4
13,10/10/2014, 13:30:00,8826,1579.8
14,10/10/2014, 13:45:00,7899,1413.8
15,10/10/2014, 14:00:00,1485,265.8
16,10/10/2014, 14:15:00,1564,279.9
17,10/10/2014, 14:30:00,3152,564.2
19,10/10/2014, 15:00:00,9428,1687.5
20,10/10/2014, 15:15:00,12044,2155.8
21,10/10/2014, 15:30:00,3543,634.2
22,10/10/2014, 15:45:00,4674,836.6
23,10/10/2014, 16:00:00,2600,465.4
24,10/10/2014, 16:15:00,2160,386.6
25,10/10/2014, 16:30:00,2011,360
26,10/10/2014, 16:45:00,2095,375
27,10/10/2014, 17:00:00,1688,302.1
28,10/10/2014, 17:15:00,1261,225.7
29,10/10/2014, 17:30:00,781,139.8
30,10/10/2014, 17:45:00,431,77.1
31,10/10/2014, 18:00:00,253,45.3
32,10/10/2014, 18:15:00,98,17.5
33,10/10/2014, 18:30:00,10,1.8
34,10/10/2014, 18:45:00,0,0
35,10/10/2014, 19:00:00,0,0
36,10/10/2014, 19:15:00,0,0
37,10/10/2014, 19:30:00,0,0
38,10/10/2014, 19:45:00,0,0
39,10/10/2014, 20:00:00,0,0
40,10/10/2014, 20:15:00,0,0
41,10/10/2014, 20:30:00,0,0
42,10/10/2014, 20:45:00,0,0
43,10/10/2014, 21:00:00,0,0
44,10/10/2014, 21:15:00,0,0
45,10/10/2014, 21:30:00,0,0
46,10/10/2014, 21:45:00,0,0
47,10/10/2014, 22:00:00,0,0
48,10/10/2014, 22:15:00,0,0
49,10/10/2014, 22:30:00,0,0
50,10/10/2014, 22:45:00,0,0
51,10/10/2014, 23:00:00,0,0
52,10/10/2014, 23:15:00,0,0
53,10/10/2014, 23:30:00,0,0
54,10/10/2014, 23:45:00,0,0
55,10/10/2014, 24:00:00,0,0
56,11/10/2014, 00:15:00,0,0
57,11/10/2014, 00:30:00,0,0
58,11/10/2014, 00:45:00,0,0
59,11/10/2014, 01:00:00,0,0
60,11/10/2014, 01:15:00,0,0
61,11/10/2014, 01:30:00,0,0
62,11/10/2014, 01:45:00,0,0
63,11/10/2014, 02:00:00,0,0
64,11/10/2014, 02:15:00,0,0
65,11/10/2014, 02:30:00,0,0
66,11/10/2014, 02:45:00,0,0
67,11/10/2014, 03:00:00,0,0
68,11/10/2014, 03:15:00,0,0
69,11/10/2014, 03:30:00,0,0
70,11/10/2014, 03:45:00,0,0
71,11/10/2014, 04:00:00,0,0
72,11/10/2014, 04:15:00,0,0
73,11/10/2014, 04:30:00,0,0
74,11/10/2014, 04:45:00,0,0
75,11/10/2014, 05:00:00,0,0
76,11/10/2014, 05:15:00,0,0
77,11/10/2014, 05:30:00,0,0
78,11/10/2014, 05:45:00,0,0
79,11/10/2014, 06:00:00,0,0
80,11/10/2014, 06:15:00,1,0.2
81,11/10/2014, 06:30:00,44,7.9
82,11/10/2014, 06:45:00,258,46.2
83,11/10/2014, 07:00:00,630,112.8
84,11/10/2014, 07:15:00,1223,218.9
85,11/10/2014, 07:30:00,1902,340.4
86,11/10/2014, 07:45:00,2945,527.1
87,11/10/2014, 08:00:00,4030,721.3
88,11/10/2014, 08:15:00,2715,486
89,11/10/2014, 08:30:00,5318,951.9
90,11/10/2014, 08:45:00,2216,396.6
91,11/10/2014, 09:00:00,1412,252.7
92,11/10/2014, 09:15:00,3492,625
93,11/10/2014, 09:30:00,4610,825.1
94,11/10/2014, 09:45:00,7697,1377.7
95,11/10/2014, 10:00:00,9089,1626.8
96,11/10/2014, 10:15:00,8156,1459.8
97,11/10/2014, 10:30:00,10776,1928.8
98,11/10/2014, 10:45:00,13840,2477.2
99,11/10/2014, 11:00:00,14574,2608.6
100,11/10/2014, 11:15:00,14551,2604.5
101,11/10/2014, 11:30:00,14728,2636.2
102,11/10/2014, 11:45:00,14959,2677.5
103,11/10/2014, 12:00:00,14215,2544.4
104,11/10/2014, 12:15:00,15096,2702
105,11/10/2014, 12:30:00,15113,2705.1
106,11/10/2014, 12:45:00,14567,2607.4
107,11/10/2014, 13:00:00,14249,2550.4
108,11/10/2014, 13:15:00,13465,2410.1
109,11/10/2014, 13:30:00,13140,2351.9
110,11/10/2014, 13:45:00,12394,2218.4
111,11/10/2014, 14:00:00,11651,2085.4
112,11/10/2014, 14:15:00,11089,1984.8
