Scan No ,Date,Time,Raw,Calibrated
1,17/12/2014 , 14:05:26,10109,1809.4
2,17/12/2014 , 14:20:26,9206,1647.8
3,17/12/2014 , 14:35:26,4830,864.5
4,17/12/2014 , 14:50:26,3577,640.3
5,17/12/2014 , 15:05:26,6994,1251.9
6,17/12/2014 , 15:20:26,3270,585.3
7,17/12/2014 , 15:35:26,3394,607.5
8,17/12/2014 , 15:50:26,2608,466.8
9,17/12/2014 , 16:05:26,2072,370.9
10,17/12/2014 , 16:20:26,1935,346.3
11,17/12/2014 , 16:35:26,2091,374.3
12,17/12/2014 , 16:50:26,1398,250.2
13,17/12/2014 , 17:05:26,1087,194.6
14,17/12/2014 , 17:20:26,654,117.1
15,17/12/2014 , 17:35:26,476,85.2
16,17/12/2014 , 17:50:26,244,43.7
17,17/12/2014 , 18:05:26,44,7.9
18,17/12/2014 , 18:20:26,2,0.4
19,17/12/2014 , 18:35:26,0,0
20,17/12/2014 , 18:50:26,0,0
21,17/12/2014 , 19:05:26,0,0
22,17/12/2014 , 19:20:26,0,0
23,17/12/2014 , 19:35:26,0,0
24,17/12/2014 , 19:50:26,0,0
25,17/12/2014 , 20:05:26,0,0
26,17/12/2014 , 20:20:26,0,0
27,17/12/2014 , 20:35:26,0,0
28,17/12/2014 , 20:50:26,0,0
29,17/12/2014 , 21:05:26,0,0
30,17/12/2014 , 21:20:26,0,0
31,17/12/2014 , 21:35:26,0,0
32,17/12/2014 , 21:50:26,0,0
33,17/12/2014 , 22:05:26,0,0
34,17/12/2014 , 22:20:26,0,0
35,17/12/2014 , 22:35:26,0,0
36,17/12/2014 , 22:50:26,0,0
37,17/12/2014 , 23:05:26,0,0
38,17/12/2014 , 23:20:26,0,0
39,17/12/2014 , 23:35:26,0,0
40,17/12/2014 , 23:50:26,0,0
41,18/12/2014 , 00:05:26,0,0
42,18/12/2014 , 00:20:26,0,0
43,18/12/2014 , 00:35:26,0,0
44,18/12/2014 , 00:50:26,0,0
45,18/12/2014 , 01:05:26,0,0
46,18/12/2014 , 01:20:26,0,0
47,18/12/2014 , 01:35:26,0,0
48,18/12/2014 , 01:50:26,0,0
49,18/12/2014 , 02:05:26,0,0
50,18/12/2014 , 02:20:26,0,0
51,18/12/2014 , 02:35:26,0,0
52,18/12/2014 , 02:50:26,0,0
53,18/12/2014 , 03:05:26,0,0
54,18/12/2014 , 03:20:26,0,0
55,18/12/2014 , 03:35:26,0,0
56,18/12/2014 , 03:50:26,0,0
57,18/12/2014 , 04:05:26,0,0
58,18/12/2014 , 04:20:26,0,0
59,18/12/2014 , 04:35:26,0,0
60,18/12/2014 , 04:50:26,0,0
61,18/12/2014 , 05:05:26,0,0
62,18/12/2014 , 05:20:26,0,0
63,18/12/2014 , 05:35:26,0,0
64,18/12/2014 , 05:50:26,0,0
65,18/12/2014 , 06:05:26,0,0
66,18/12/2014 , 06:20:26,0,0
67,18/12/2014 , 06:35:26,0,0
68,18/12/2014 , 06:50:26,2,0.4
69,18/12/2014 , 07:05:26,57,10.2
70,18/12/2014 , 07:20:26,271,48.5
71,18/12/2014 , 07:35:26,434,77.7
72,18/12/2014 , 07:50:26,887,158.8
73,18/12/2014 , 08:05:26,2690,481.5
74,18/12/2014 , 08:20:26,3070,549.5
75,18/12/2014 , 08:35:26,3102,555.2
76,18/12/2014 , 08:50:26,3024,541.3
77,18/12/2014 , 09:05:26,5143,920.5
78,18/12/2014 , 09:20:26,4082,730.6
79,18/12/2014 , 09:35:26,6856,1227.2
80,18/12/2014 , 09:50:26,5726,1024.9
81,18/12/2014 , 10:05:26,5577,998.2
82,18/12/2014 , 10:20:26,5531,990
83,18/12/2014 , 10:35:26,5151,922
84,18/12/2014 , 10:50:26,6498,1163.1
85,18/12/2014 , 11:05:26,5713,1022.6
86,18/12/2014 , 11:20:26,6763,1210.5
87,18/12/2014 , 11:35:26,6435,1151.8
88,18/12/2014 , 11:50:26,8522,1525.4
89,18/12/2014 , 12:05:26,8517,1524.5
90,18/12/2014 , 12:20:26,6414,1148
91,18/12/2014 , 12:35:26,7409,1326.1
92,18/12/2014 , 12:50:26,7054,1262.6
93,18/12/2014 , 13:05:26,7251,1297.9
94,18/12/2014 , 13:20:26,8408,1505
95,18/12/2014 , 13:35:26,7033,1258.8
96,18/12/2014 , 13:50:26,5853,1047.6
97,18/12/2014 , 14:05:26,4867,871.1
98,18/12/2014 , 14:20:26,5607,1003.6
99,18/12/2014 , 14:35:26,6936,1241.5
100,18/12/2014 , 14:50:26,7492,1341
101,18/12/2014 , 15:05:26,4291,768
102,18/12/2014 , 15:20:26,4798,858.8
103,18/12/2014 , 15:35:26,4026,720.6
104,18/12/2014 , 15:50:26,4688,839.1
105,18/12/2014 , 16:05:26,3560,637.2
106,18/12/2014 , 16:20:26,3220,576.4
107,18/12/2014 , 16:35:26,2347,420.1
108,18/12/2014 , 16:50:26,1531,274
109,18/12/2014 , 17:05:26,1120,200.5
