Scan No ,Date,Time,Raw,Calibrated
1,25/02/2015 , 10:15:00,14244,2549.5
2,25/02/2015 , 10:30:00,18958,3393.3
3,25/02/2015 , 10:45:00,7631,1365.9
4,25/02/2015 , 11:00:00,5996,1073.2
5,25/02/2015 , 11:15:00,5895,1055.2
6,25/02/2015 , 11:30:00,10579,1893.5
7,25/02/2015 , 11:45:00,6965,1246.7
8,25/02/2015 , 12:00:00,4817,862.2
9,25/02/2015 , 12:15:00,5735,1026.5
10,25/02/2015 , 12:30:00,7420,1328.1
11,25/02/2015 , 12:45:00,6209,1111.4
12,25/02/2015 , 13:00:00,7528,1347.4
13,25/02/2015 , 13:15:00,6543,1171.1
14,25/02/2015 , 13:30:00,6962,1246.1
15,25/02/2015 , 13:45:00,8037,1438.5
16,25/02/2015 , 14:00:00,6431,1151.1
17,25/02/2015 , 14:15:00,4908,878.5
18,25/02/2015 , 14:30:00,3690,660.5
19,25/02/2015 , 14:45:00,4104,734.6
20,25/02/2015 , 15:00:00,4095,733
21,25/02/2015 , 15:15:00,3390,606.8
22,25/02/2015 , 15:30:00,3514,629
23,25/02/2015 , 15:45:00,4304,770.4
24,25/02/2015 , 16:00:00,4624,827.7
25,25/02/2015 , 16:15:00,4103,734.4
26,25/02/2015 , 16:30:00,4149,742.6
27,25/02/2015 , 16:45:00,3092,553.4
28,25/02/2015 , 17:00:00,2822,505.1
29,25/02/2015 , 17:15:00,2700,483.3
30,25/02/2015 , 17:30:00,1786,319.7
31,25/02/2015 , 17:45:00,1326,237.3
32,25/02/2015 , 18:00:00,1002,179.3
33,25/02/2015 , 18:15:00,548,98.1
34,25/02/2015 , 18:30:00,144,25.8
35,25/02/2015 , 18:45:00,29,5.2
36,25/02/2015 , 19:00:00,1,0.2
37,25/02/2015 , 19:15:00,0,0
38,25/02/2015 , 19:30:00,0,0
39,25/02/2015 , 19:45:00,0,0
40,25/02/2015 , 20:00:00,0,0
41,25/02/2015 , 20:15:00,0,0
42,25/02/2015 , 20:30:00,0,0
43,25/02/2015 , 20:45:00,0,0
44,25/02/2015 , 21:00:00,0,0
45,25/02/2015 , 21:15:00,0,0
