Scan No ,Date,Time,Raw,Calibrated
1,15/04/2015 , 11:45:00,3999,715.8
2,15/04/2015 , 12:00:00,4073,729
3,15/04/2015 , 12:15:00,8415,1506.2
4,15/04/2015 , 12:30:00,8353,1495.1
5,15/04/2015 , 12:45:00,11016,1971.8
6,15/04/2015 , 13:00:00,17201,3078.8
7,15/04/2015 , 13:15:00,15980,2860.3
8,15/04/2015 , 13:30:00,15552,2783.7
9,15/04/2015 , 13:45:00,14563,2606.6
10,15/04/2015 , 14:00:00,6735,1205.5
11,15/04/2015 , 14:15:00,9720,1739.8
12,15/04/2015 , 14:30:00,6144,1099.7
13,15/04/2015 , 14:45:00,11300,2022.6
14,15/04/2015 , 15:00:00,9236,1653.2
15,15/04/2015 , 15:15:00,10777,1929
16,15/04/2015 , 15:30:00,11353,2032.1
17,15/04/2015 , 15:45:00,7009,1254.5
18,15/04/2015 , 16:00:00,11053,1978.4
19,15/04/2015 , 16:15:00,9814,1756.6
20,15/04/2015 , 16:30:00,8361,1496.5
21,15/04/2015 , 16:45:00,4554,815.1
22,15/04/2015 , 17:00:00,3160,565.6
23,15/04/2015 , 17:15:00,3618,647.6
24,15/04/2015 , 17:30:00,2623,469.5
25,15/04/2015 , 17:45:00,1152,206.2
26,15/04/2015 , 18:00:00,1073,192.1
27,15/04/2015 , 18:15:00,718,128.5
28,15/04/2015 , 18:30:00,480,85.9
29,15/04/2015 , 18:45:00,221,39.6
30,15/04/2015 , 19:00:00,56,10
31,15/04/2015 , 19:15:00,2,0.4
32,15/04/2015 , 19:30:00,0,0
33,15/04/2015 , 19:45:00,0,0
34,15/04/2015 , 20:00:00,0,0
35,15/04/2015 , 20:15:00,0,0
36,15/04/2015 , 20:30:00,0,0
37,15/04/2015 , 20:45:00,0,0
38,15/04/2015 , 21:00:00,0,0
39,15/04/2015 , 21:15:00,0,0
40,15/04/2015 , 21:30:00,0,0
41,15/04/2015 , 21:45:00,0,0
42,15/04/2015 , 22:00:00,0,0
43,15/04/2015 , 22:15:00,0,0
44,15/04/2015 , 22:30:00,0,0
45,15/04/2015 , 22:45:00,0,0
46,15/04/2015 , 23:00:00,0,0
47,15/04/2015 , 23:15:00,0,0
48,15/04/2015 , 23:30:00,0,0
49,15/04/2015 , 23:45:00,0,0
50,15/04/2015 , 24:00:00,0,0
51,16/04/2015 , 00:15:00,0,0
52,16/04/2015 , 00:30:00,0,0
53,16/04/2015 , 00:45:00,0,0
54,16/04/2015 , 01:00:00,0,0
55,16/04/2015 , 01:15:00,0,0
56,16/04/2015 , 01:30:00,0,0
57,16/04/2015 , 01:45:00,0,0
58,16/04/2015 , 02:00:00,0,0
59,16/04/2015 , 02:15:00,0,0
60,16/04/2015 , 02:30:00,0,0
61,16/04/2015 , 02:45:00,0,0
62,16/04/2015 , 03:00:00,0,0
63,16/04/2015 , 03:15:00,0,0
64,16/04/2015 , 03:30:00,0,0
65,16/04/2015 , 03:45:00,0,0
66,16/04/2015 , 04:00:00,0,0
67,16/04/2015 , 04:15:00,0,0
68,16/04/2015 , 04:30:00,0,0
69,16/04/2015 , 04:45:00,0,0
70,16/04/2015 , 05:00:00,0,0
71,16/04/2015 , 05:15:00,0,0
72,16/04/2015 , 05:30:00,0,0
73,16/04/2015 , 05:45:00,0,0
74,16/04/2015 , 06:00:00,0,0
75,16/04/2015 , 06:15:00,50,8.9
76,16/04/2015 , 06:30:00,273,48.9
77,16/04/2015 , 06:45:00,635,113.7
78,16/04/2015 , 07:00:00,813,145.5
79,16/04/2015 , 07:15:00,2230,399.1
80,16/04/2015 , 07:30:00,2174,389.1
81,16/04/2015 , 07:45:00,3681,658.9
82,16/04/2015 , 08:00:00,5621,1006.1
83,16/04/2015 , 08:15:00,6595,1180.4
84,16/04/2015 , 08:30:00,7335,1312.9
85,16/04/2015 , 08:45:00,8428,1508.5
86,16/04/2015 , 09:00:00,10117,1810.9
87,16/04/2015 , 09:15:00,10681,1911.8
88,16/04/2015 , 09:30:00,10618,1900.5
89,16/04/2015 , 09:45:00,12816,2293.9
90,16/04/2015 , 10:00:00,11735,2100.5
91,16/04/2015 , 10:15:00,15969,2858.3
92,16/04/2015 , 10:30:00,14302,2559.9
93,16/04/2015 , 10:45:00,15161,2713.7
94,16/04/2015 , 11:00:00,16597,2970.7
95,16/04/2015 , 11:15:00,12520,2241
96,16/04/2015 , 11:30:00,17639,3157.2
97,16/04/2015 , 11:45:00,19177,3432.5
98,16/04/2015 , 12:00:00,20240,3622.8
99,16/04/2015 , 12:15:00,15147,2711.2
100,16/04/2015 , 12:30:00,19996,3579.1
101,16/04/2015 , 12:45:00,20115,3600.4
102,16/04/2015 , 13:00:00,19607,3509.5
103,16/04/2015 , 13:15:00,19511,3492.3
104,16/04/2015 , 13:30:00,17039,3049.8
105,16/04/2015 , 13:45:00,18212,3259.8
106,16/04/2015 , 14:00:00,16654,2980.9
107,16/04/2015 , 14:15:00,9295,1663.7
108,16/04/2015 , 14:30:00,16706,2990.2
109,16/04/2015 , 14:45:00,14855,2658.9
110,16/04/2015 , 15:00:00,14146,2532
111,16/04/2015 , 15:15:00,10402,1861.9
112,16/04/2015 , 15:30:00,4538,812.3
113,16/04/2015 , 15:45:00,8624,1543.6
114,16/04/2015 , 16:00:00,10832,1938.8
115,16/04/2015 , 16:15:00,5954,1065.7
116,16/04/2015 , 16:30:00,8981,1607.5
117,16/04/2015 , 16:45:00,4810,860.9
118,16/04/2015 , 17:00:00,4415,790.2
119,16/04/2015 , 17:15:00,3123,559
120,16/04/2015 , 17:30:00,2085,373.2
121,16/04/2015 , 17:45:00,1210,216.6
122,16/04/2015 , 18:00:00,1059,189.6
123,16/04/2015 , 18:15:00,726,129.9
124,16/04/2015 , 18:30:00,425,76.1
125,16/04/2015 , 18:45:00,217,38.8
126,16/04/2015 , 19:00:00,67,12
127,16/04/2015 , 19:15:00,3,0.5
128,16/04/2015 , 19:30:00,0,0
129,16/04/2015 , 19:45:00,0,0
130,16/04/2015 , 20:00:00,0,0
131,16/04/2015 , 20:15:00,0,0
132,16/04/2015 , 20:30:00,0,0
133,16/04/2015 , 20:45:00,0,0
134,16/04/2015 , 21:00:00,0,0
135,16/04/2015 , 21:15:00,0,0
136,16/04/2015 , 21:30:00,0,0
137,16/04/2015 , 21:45:00,0,0
138,16/04/2015 , 22:00:00,0,0
139,16/04/2015 , 22:15:00,0,0
140,16/04/2015 , 22:30:00,0,0
141,16/04/2015 , 22:45:00,0,0
142,16/04/2015 , 23:00:00,0,0
143,16/04/2015 , 23:15:00,0,0
144,16/04/2015 , 23:30:00,0,0
145,16/04/2015 , 23:45:00,0,0
146,16/04/2015 , 24:00:00,0,0
147,17/04/2015 , 00:15:00,0,0
148,17/04/2015 , 00:30:00,0,0
149,17/04/2015 , 00:45:00,0,0
150,17/04/2015 , 01:00:00,0,0
151,17/04/2015 , 01:15:00,0,0
152,17/04/2015 , 01:30:00,0,0
153,17/04/2015 , 01:45:00,0,0
154,17/04/2015 , 02:00:00,0,0
155,17/04/2015 , 02:15:00,0,0
156,17/04/2015 , 02:30:00,0,0
157,17/04/2015 , 02:45:00,0,0
158,17/04/2015 , 03:00:00,0,0
159,17/04/2015 , 03:15:00,0,0
160,17/04/2015 , 03:30:00,0,0
161,17/04/2015 , 03:45:00,0,0
162,17/04/2015 , 04:00:00,0,0
163,17/04/2015 , 04:15:00,0,0
164,17/04/2015 , 04:30:00,0,0
165,17/04/2015 , 04:45:00,0,0
166,17/04/2015 , 05:00:00,0,0
167,17/04/2015 , 05:15:00,0,0
168,17/04/2015 , 05:30:00,0,0
169,17/04/2015 , 05:45:00,0,0
170,17/04/2015 , 06:00:00,0,0
171,17/04/2015 , 06:15:00,54,9.7
172,17/04/2015 , 06:30:00,292,52.3
173,17/04/2015 , 06:45:00,724,129.6
174,17/04/2015 , 07:00:00,1918,343.3
175,17/04/2015 , 07:15:00,2468,441.7
176,17/04/2015 , 07:30:00,3400,608.6
177,17/04/2015 , 07:45:00,4156,743.9
178,17/04/2015 , 08:00:00,5251,939.9
179,17/04/2015 , 08:15:00,6318,1130.9
180,17/04/2015 , 08:30:00,5884,1053.2
181,17/04/2015 , 08:45:00,8922,1597
182,17/04/2015 , 09:00:00,10920,1954.6
183,17/04/2015 , 09:15:00,10959,1961.6
184,17/04/2015 , 09:30:00,13205,2363.6
185,17/04/2015 , 09:45:00,13466,2410.3
186,17/04/2015 , 10:00:00,15253,2730.1
187,17/04/2015 , 10:15:00,15676,2805.9
188,17/04/2015 , 10:30:00,12017,2150.9
189,17/04/2015 , 10:45:00,5806,1039.2
190,17/04/2015 , 11:00:00,13829,2475.3
191,17/04/2015 , 11:15:00,9136,1635.3
192,17/04/2015 , 11:30:00,17127,3065.6
193,17/04/2015 , 11:45:00,18847,3373.4
194,17/04/2015 , 12:00:00,14294,2558.5
195,17/04/2015 , 12:15:00,15503,2774.9
196,17/04/2015 , 12:30:00,20686,3702.6
197,17/04/2015 , 12:45:00,16900,3024.9
198,17/04/2015 , 13:00:00,17488,3130.2
199,17/04/2015 , 13:15:00,16792,3005.6
200,17/04/2015 , 13:30:00,16474,2948.7
201,17/04/2015 , 13:45:00,16054,2873.5
202,17/04/2015 , 14:00:00,17767,3180.1
203,17/04/2015 , 14:15:00,16816,3009.9
204,17/04/2015 , 14:30:00,15975,2859.4
205,17/04/2015 , 14:45:00,15022,2688.8
206,17/04/2015 , 15:00:00,14312,2561.7
207,17/04/2015 , 15:15:00,13473,2411.5
208,17/04/2015 , 15:30:00,12303,2202.1
209,17/04/2015 , 15:45:00,11201,2004.9
210,17/04/2015 , 16:00:00,10082,1804.6
211,17/04/2015 , 16:15:00,9656,1728.3
212,17/04/2015 , 16:30:00,8321,1489.4
213,17/04/2015 , 16:45:00,7135,1277.1
214,17/04/2015 , 17:00:00,5906,1057.1
215,17/04/2015 , 17:15:00,3920,701.6
216,17/04/2015 , 17:30:00,3145,562.9
217,17/04/2015 , 17:45:00,1307,233.9
218,17/04/2015 , 18:00:00,995,178.1
219,17/04/2015 , 18:15:00,780,139.6
220,17/04/2015 , 18:30:00,447,80
221,17/04/2015 , 18:45:00,246,44
222,17/04/2015 , 19:00:00,72,12.9
223,17/04/2015 , 19:15:00,3,0.5
224,17/04/2015 , 19:30:00,0,0
225,17/04/2015 , 19:45:00,0,0
226,17/04/2015 , 20:00:00,0,0
227,17/04/2015 , 20:15:00,0,0
228,17/04/2015 , 20:30:00,0,0
229,17/04/2015 , 20:45:00,0,0
230,17/04/2015 , 21:00:00,0,0
231,17/04/2015 , 21:15:00,0,0
232,17/04/2015 , 21:30:00,0,0
233,17/04/2015 , 21:45:00,0,0
234,17/04/2015 , 22:00:00,0,0
235,17/04/2015 , 22:15:00,0,0
236,17/04/2015 , 22:30:00,0,0
237,17/04/2015 , 22:45:00,0,0
238,17/04/2015 , 23:00:00,0,0
239,17/04/2015 , 23:15:00,0,0
240,17/04/2015 , 23:30:00,0,0
241,17/04/2015 , 23:45:00,0,0
242,17/04/2015 , 24:00:00,0,0
243,18/04/2015 , 00:15:00,0,0
244,18/04/2015 , 00:30:00,0,0
245,18/04/2015 , 00:45:00,0,0
246,18/04/2015 , 01:00:00,0,0
247,18/04/2015 , 01:15:00,0,0
248,18/04/2015 , 01:30:00,0,0
249,18/04/2015 , 01:45:00,0,0
250,18/04/2015 , 02:00:00,0,0
251,18/04/2015 , 02:15:00,0,0
252,18/04/2015 , 02:30:00,0,0
253,18/04/2015 , 02:45:00,0,0
254,18/04/2015 , 03:00:00,0,0
255,18/04/2015 , 03:15:00,0,0
256,18/04/2015 , 03:30:00,0,0
257,18/04/2015 , 03:45:00,0,0
258,18/04/2015 , 04:00:00,0,0
259,18/04/2015 , 04:15:00,0,0
260,18/04/2015 , 04:30:00,0,0
261,18/04/2015 , 04:45:00,0,0
262,18/04/2015 , 05:00:00,0,0
263,18/04/2015 , 05:15:00,0,0
264,18/04/2015 , 05:30:00,0,0
265,18/04/2015 , 05:45:00,0,0
266,18/04/2015 , 06:00:00,1,0.2
267,18/04/2015 , 06:15:00,53,9.5
268,18/04/2015 , 06:30:00,338,60.5
269,18/04/2015 , 06:45:00,864,154.6
270,18/04/2015 , 07:00:00,1888,337.9
271,18/04/2015 , 07:15:00,2254,403.4
272,18/04/2015 , 07:30:00,2244,401.7
273,18/04/2015 , 07:45:00,2656,475.4
274,18/04/2015 , 08:00:00,3315,593.4
275,18/04/2015 , 08:15:00,3137,561.5
276,18/04/2015 , 08:30:00,4078,729.9
277,18/04/2015 , 08:45:00,4726,845.9
278,18/04/2015 , 09:00:00,4302,770
279,18/04/2015 , 09:15:00,7728,1383.2
280,18/04/2015 , 09:30:00,6366,1139.5
281,18/04/2015 , 09:45:00,9862,1765.2
282,18/04/2015 , 10:00:00,11674,2089.5
283,18/04/2015 , 10:15:00,11872,2125
284,18/04/2015 , 10:30:00,12525,2241.9
285,18/04/2015 , 10:45:00,11181,2001.3
286,18/04/2015 , 11:00:00,11442,2048
287,18/04/2015 , 11:15:00,11505,2059.3
288,18/04/2015 , 11:30:00,14591,2611.7
289,18/04/2015 , 11:45:00,11648,2084.9
290,18/04/2015 , 12:00:00,14992,2683.4
291,18/04/2015 , 12:15:00,14121,2527.5
292,18/04/2015 , 12:30:00,13015,2329.6
293,18/04/2015 , 12:45:00,15295,2737.7
294,18/04/2015 , 13:00:00,15537,2781
295,18/04/2015 , 13:15:00,17697,3167.6
296,18/04/2015 , 13:30:00,17723,3172.3
297,18/04/2015 , 13:45:00,18380,3289.9
298,18/04/2015 , 14:00:00,17044,3050.7
299,18/04/2015 , 14:15:00,17233,3084.5
300,18/04/2015 , 14:30:00,15116,2705.6
301,18/04/2015 , 14:45:00,14008,2507.3
302,18/04/2015 , 15:00:00,11964,2141.4
303,18/04/2015 , 15:15:00,11636,2082.7
304,18/04/2015 , 15:30:00,10698,1914.8
305,18/04/2015 , 15:45:00,9611,1720.3
306,18/04/2015 , 16:00:00,9528,1705.4
307,18/04/2015 , 16:15:00,4402,787.9
308,18/04/2015 , 16:30:00,5516,987.3
309,18/04/2015 , 16:45:00,6141,1099.2
310,18/04/2015 , 17:00:00,4167,745.9
311,18/04/2015 , 17:15:00,2903,519.6
312,18/04/2015 , 17:30:00,2958,529.5
313,18/04/2015 , 17:45:00,1912,342.2
314,18/04/2015 , 18:00:00,1238,221.6
315,18/04/2015 , 18:15:00,685,122.6
316,18/04/2015 , 18:30:00,485,86.8
317,18/04/2015 , 18:45:00,252,45.1
318,18/04/2015 , 19:00:00,67,12
319,18/04/2015 , 19:15:00,4,0.7
320,18/04/2015 , 19:30:00,0,0
321,18/04/2015 , 19:45:00,0,0
322,18/04/2015 , 20:00:00,0,0
323,18/04/2015 , 20:15:00,0,0
324,18/04/2015 , 20:30:00,0,0
325,18/04/2015 , 20:45:00,0,0
326,18/04/2015 , 21:00:00,0,0
327,18/04/2015 , 21:15:00,0,0
328,18/04/2015 , 21:30:00,0,0
329,18/04/2015 , 21:45:00,0,0
330,18/04/2015 , 22:00:00,0,0
331,18/04/2015 , 22:15:00,0,0
332,18/04/2015 , 22:30:00,0,0
333,18/04/2015 , 22:45:00,0,0
334,18/04/2015 , 23:00:00,0,0
335,18/04/2015 , 23:15:00,0,0
336,18/04/2015 , 23:30:00,0,0
337,18/04/2015 , 23:45:00,0,0
338,18/04/2015 , 24:00:00,0,0
339,19/04/2015 , 00:15:00,0,0
340,19/04/2015 , 00:30:00,0,0
341,19/04/2015 , 00:45:00,0,0
342,19/04/2015 , 01:00:00,0,0
343,19/04/2015 , 01:15:00,0,0
344,19/04/2015 , 01:30:00,0,0
345,19/04/2015 , 01:45:00,0,0
346,19/04/2015 , 02:00:00,0,0
347,19/04/2015 , 02:15:00,0,0
348,19/04/2015 , 02:30:00,0,0
349,19/04/2015 , 02:45:00,0,0
350,19/04/2015 , 03:00:00,0,0
351,19/04/2015 , 03:15:00,0,0
352,19/04/2015 , 03:30:00,0,0
353,19/04/2015 , 03:45:00,0,0
354,19/04/2015 , 04:00:00,0,0
355,19/04/2015 , 04:15:00,0,0
356,19/04/2015 , 04:30:00,0,0
357,19/04/2015 , 04:45:00,0,0
358,19/04/2015 , 05:00:00,0,0
359,19/04/2015 , 05:15:00,0,0
360,19/04/2015 , 05:30:00,0,0
361,19/04/2015 , 05:45:00,0,0
362,19/04/2015 , 06:00:00,0,0
363,19/04/2015 , 06:15:00,22,3.9
364,19/04/2015 , 06:30:00,180,32.2
365,19/04/2015 , 06:45:00,502,89.9
366,19/04/2015 , 07:00:00,912,163.2
367,19/04/2015 , 07:15:00,1764,315.7
368,19/04/2015 , 07:30:00,3014,539.5
369,19/04/2015 , 07:45:00,3183,569.7
370,19/04/2015 , 08:00:00,5164,924.3
371,19/04/2015 , 08:15:00,6119,1095.2
372,19/04/2015 , 08:30:00,7495,1341.5
373,19/04/2015 , 08:45:00,8786,1572.6
374,19/04/2015 , 09:00:00,7985,1429.2
375,19/04/2015 , 09:15:00,11343,2030.3
376,19/04/2015 , 09:30:00,9928,1777
377,19/04/2015 , 09:45:00,9361,1675.5
