Scan No ,Date,Time,Raw,Calibrated
1,30/06/2015 , 12:15:00,11459,2051.1
2,30/06/2015 , 12:30:00,15533,2780.3
3,30/06/2015 , 12:45:00,16109,2883.4
4,30/06/2015 , 13:00:00,14148,2532.4
5,30/06/2015 , 13:15:00,18224,3261.9
6,30/06/2015 , 13:30:00,16444,2943.3
7,30/06/2015 , 13:45:00,16649,2980
8,30/06/2015 , 14:00:00,13122,2348.7
9,30/06/2015 , 14:15:00,16227,2904.5
10,30/06/2015 , 14:30:00,14990,2683.1
11,30/06/2015 , 14:45:00,12340,2208.7
12,30/06/2015 , 15:00:00,15501,2774.5
13,30/06/2015 , 15:15:00,13708,2453.6
14,30/06/2015 , 15:30:00,12639,2262.3
15,30/06/2015 , 15:45:00,11726,2098.8
16,30/06/2015 , 16:00:00,9502,1700.8
17,30/06/2015 , 16:15:00,6196,1109
18,30/06/2015 , 16:30:00,8312,1487.8
19,30/06/2015 , 16:45:00,5537,991.1
20,30/06/2015 , 17:00:00,6970,1247.6
21,30/06/2015 , 17:15:00,5799,1038
22,30/06/2015 , 17:30:00,2054,367.6
23,30/06/2015 , 17:45:00,1713,306.6
24,30/06/2015 , 18:00:00,1574,281.7
25,30/06/2015 , 18:15:00,1428,255.6
26,30/06/2015 , 18:30:00,657,117.6
27,30/06/2015 , 18:45:00,452,80.9
28,30/06/2015 , 19:00:00,260,46.5
29,30/06/2015 , 19:15:00,162,29
30,30/06/2015 , 19:30:00,24,4.3
31,30/06/2015 , 19:45:00,0,0
32,30/06/2015 , 20:00:00,0,0
33,30/06/2015 , 20:15:00,0,0
34,30/06/2015 , 20:30:00,0,0
35,30/06/2015 , 20:45:00,0,0
36,30/06/2015 , 21:00:00,0,0
37,30/06/2015 , 21:15:00,0,0
38,30/06/2015 , 21:30:00,0,0
39,30/06/2015 , 21:45:00,0,0
40,30/06/2015 , 22:00:00,0,0
41,30/06/2015 , 22:15:00,0,0
42,30/06/2015 , 22:30:00,0,0
43,30/06/2015 , 22:45:00,0,0
44,30/06/2015 , 23:00:00,0,0
45,30/06/2015 , 23:15:00,0,0
46,30/06/2015 , 23:30:00,0,0
47,30/06/2015 , 23:45:00,0,0
48,30/06/2015 , 24:00:00,0,0
49,01/07/2015, 00:15:00,0,0
50,01/07/2015, 00:30:00,0,0
51,01/07/2015, 00:45:00,0,0
52,01/07/2015, 01:00:00,0,0
53,01/07/2015, 01:15:00,0,0
54,01/07/2015, 01:30:00,0,0
55,01/07/2015, 01:45:00,0,0
56,01/07/2015, 02:00:00,0,0
57,01/07/2015, 02:15:00,0,0
58,01/07/2015, 02:30:00,0,0
59,01/07/2015, 02:45:00,0,0
60,01/07/2015, 03:00:00,0,0
61,01/07/2015, 03:15:00,0,0
62,01/07/2015, 03:30:00,0,0
63,01/07/2015, 03:45:00,0,0
64,01/07/2015, 04:00:00,0,0
65,01/07/2015, 04:15:00,0,0
66,01/07/2015, 04:30:00,0,0
67,01/07/2015, 04:45:00,0,0
68,01/07/2015, 05:00:00,0,0
69,01/07/2015, 05:15:00,0,0
70,01/07/2015, 05:30:00,0,0
71,01/07/2015, 05:45:00,3,0.5
72,01/07/2015, 06:00:00,90,16.1
73,01/07/2015, 06:15:00,423,75.7
74,01/07/2015, 06:30:00,750,134.2
75,01/07/2015, 06:45:00,1333,238.6
76,01/07/2015, 07:00:00,2212,395.9
77,01/07/2015, 07:15:00,2958,529.5
78,01/07/2015, 07:30:00,3937,704.7
79,01/07/2015, 07:45:00,3612,646.5
80,01/07/2015, 08:00:00,4105,734.8
81,01/07/2015, 08:15:00,7386,1322
82,01/07/2015, 08:30:00,8295,1484.7
83,01/07/2015, 08:45:00,9397,1682
84,01/07/2015, 09:00:00,10456,1871.5
85,01/07/2015, 09:15:00,11484,2055.5
86,01/07/2015, 09:30:00,12437,2226.1
87,01/07/2015, 09:45:00,13520,2420
88,01/07/2015, 10:00:00,14222,2545.6
89,01/07/2015, 10:15:00,15113,2705.1
90,01/07/2015, 10:30:00,15699,2810
