Scan No ,Date,Time,Raw,Calibrated
1,23/09/2015 , 13:15:00,8574,1534.7
2,23/09/2015 , 13:30:00,6546,1171.7
3,23/09/2015 , 13:45:00,7373,1319.7
4,23/09/2015 , 14:00:00,6103,1092.4
5,23/09/2015 , 14:15:00,4647,831.8
6,23/09/2015 , 14:30:00,4699,841.1
7,23/09/2015 , 14:45:00,5549,993.2
8,23/09/2015 , 15:00:00,5430,971.9
9,23/09/2015 , 15:15:00,3455,618.4
10,23/09/2015 , 15:30:00,4059,726.5
11,23/09/2015 , 15:45:00,4160,744.6
12,23/09/2015 , 16:00:00,3731,667.8
13,23/09/2015 , 16:15:00,3784,677.3
14,23/09/2015 , 16:30:00,3190,571
15,23/09/2015 , 16:45:00,1556,278.5
16,23/09/2015 , 17:00:00,1247,223.2
17,23/09/2015 , 17:15:00,1182,211.6
18,23/09/2015 , 17:30:00,1227,219.6
19,23/09/2015 , 17:45:00,769,137.6
20,23/09/2015 , 18:00:00,406,72.7
21,23/09/2015 , 18:15:00,181,32.4
22,23/09/2015 , 18:30:00,53,9.5
23,23/09/2015 , 18:45:00,2,0.4
24,23/09/2015 , 19:00:00,0,0
25,23/09/2015 , 19:15:00,0,0
26,23/09/2015 , 19:30:00,0,0
27,23/09/2015 , 19:45:00,0,0
28,23/09/2015 , 20:00:00,0,0
29,23/09/2015 , 20:15:00,0,0
30,23/09/2015 , 20:30:00,0,0
31,23/09/2015 , 20:45:00,0,0
32,23/09/2015 , 21:00:00,0,0
33,23/09/2015 , 21:15:00,0,0
34,23/09/2015 , 21:30:00,0,0
35,23/09/2015 , 21:45:00,0,0
36,23/09/2015 , 22:00:00,0,0
37,23/09/2015 , 22:15:00,0,0
38,23/09/2015 , 22:30:00,0,0
39,23/09/2015 , 22:45:00,0,0
40,23/09/2015 , 23:00:00,0,0
41,23/09/2015 , 23:15:00,0,0
42,23/09/2015 , 23:30:00,0,0
43,23/09/2015 , 23:45:00,0,0
44,23/09/2015 , 24:00:00,0,0
45,24/09/2015 , 00:15:00,0,0
46,24/09/2015 , 00:30:00,0,0
47,24/09/2015 , 00:45:00,0,0
48,24/09/2015 , 01:00:00,0,0
49,24/09/2015 , 01:15:00,0,0
50,24/09/2015 , 01:30:00,0,0
51,24/09/2015 , 01:45:00,0,0
52,24/09/2015 , 02:00:00,0,0
53,24/09/2015 , 02:15:00,0,0
54,24/09/2015 , 02:30:00,0,0
55,24/09/2015 , 02:45:00,0,0
56,24/09/2015 , 03:00:00,0,0
57,24/09/2015 , 03:15:00,0,0
58,24/09/2015 , 03:30:00,0,0
59,24/09/2015 , 03:45:00,0,0
60,24/09/2015 , 04:00:00,0,0
61,24/09/2015 , 04:15:00,0,0
62,24/09/2015 , 04:30:00,0,0
63,24/09/2015 , 04:45:00,0,0
64,24/09/2015 , 05:00:00,0,0
65,24/09/2015 , 05:15:00,0,0
66,24/09/2015 , 05:30:00,0,0
67,24/09/2015 , 05:45:00,0,0
68,24/09/2015 , 06:00:00,0,0
69,24/09/2015 , 06:15:00,0,0
70,24/09/2015 , 06:30:00,63,11.3
71,24/09/2015 , 06:45:00,494,88.4
72,24/09/2015 , 07:00:00,561,100.4
73,24/09/2015 , 07:15:00,1608,287.8
74,24/09/2015 , 07:30:00,1494,267.4
75,24/09/2015 , 07:45:00,2472,442.5
76,24/09/2015 , 08:00:00,3411,610.5
77,24/09/2015 , 08:15:00,4032,721.7
78,24/09/2015 , 08:30:00,3839,687.1
79,24/09/2015 , 08:45:00,5493,983.2
80,24/09/2015 , 09:00:00,5012,897.1
81,24/09/2015 , 09:15:00,4331,775.2
82,24/09/2015 , 09:30:00,6623,1185.5
83,24/09/2015 , 09:45:00,7912,1416.2
84,24/09/2015 , 10:00:00,8552,1530.7
