Scan No ,Date,Time,Raw,Calibrated
1,21/01/2016 , 12:30:00,7529,1347.6
2,21/01/2016 , 12:45:00,11381,2037.1
3,21/01/2016 , 13:00:00,10391,1859.9
4,21/01/2016 , 13:15:00,12335,2207.9
5,21/01/2016 , 13:30:00,11746,2102.4
6,21/01/2016 , 13:45:00,10071,1802.6
7,21/01/2016 , 14:00:00,11300,2022.6
8,21/01/2016 , 14:15:00,9345,1672.7
9,21/01/2016 , 14:30:00,11533,2064.3
10,21/01/2016 , 14:45:00,10911,1953
11,21/01/2016 , 15:00:00,10242,1833.2
12,21/01/2016 , 15:15:00,9316,1667.5
13,21/01/2016 , 15:30:00,8861,1586
14,21/01/2016 , 15:45:00,7760,1389
15,21/01/2016 , 16:00:00,6477,1159.3
16,21/01/2016 , 16:15:00,3230,578.1
17,21/01/2016 , 16:30:00,4010,717.8
18,21/01/2016 , 16:45:00,2864,512.6
19,21/01/2016 , 17:00:00,2240,400.9
20,21/01/2016 , 17:15:00,1682,301.1
21,21/01/2016 , 17:30:00,1204,215.5
22,21/01/2016 , 17:45:00,839,150.2
23,21/01/2016 , 18:00:00,415,74.3
24,21/01/2016 , 18:15:00,146,26.1
25,21/01/2016 , 18:30:00,27,4.8
26,21/01/2016 , 18:45:00,0,0
27,21/01/2016 , 19:00:00,0,0
28,21/01/2016 , 19:15:00,0,0
29,21/01/2016 , 19:30:00,0,0
30,21/01/2016 , 19:45:00,0,0
31,21/01/2016 , 20:00:00,0,0
32,21/01/2016 , 20:15:00,0,0
33,21/01/2016 , 20:30:00,0,0
34,21/01/2016 , 20:45:00,0,0
35,21/01/2016 , 21:00:00,0,0
36,21/01/2016 , 21:15:00,0,0
37,21/01/2016 , 21:30:00,0,0
38,21/01/2016 , 21:45:00,0,0
39,21/01/2016 , 22:00:00,0,0
40,21/01/2016 , 22:15:00,0,0
41,21/01/2016 , 22:30:00,0,0
42,21/01/2016 , 22:45:00,0,0
43,21/01/2016 , 23:00:00,0,0
44,21/01/2016 , 23:15:00,0,0
45,21/01/2016 , 23:30:00,0,0
46,21/01/2016 , 23:45:00,0,0
47,21/01/2016 , 24:00:00,0,0
48,22/01/2016 , 00:15:00,0,0
49,22/01/2016 , 00:30:00,0,0
50,22/01/2016 , 00:45:00,0,0
51,22/01/2016 , 01:00:00,0,0
52,22/01/2016 , 01:15:00,0,0
53,22/01/2016 , 01:30:00,0,0
54,22/01/2016 , 01:45:00,0,0
55,22/01/2016 , 02:00:00,0,0
56,22/01/2016 , 02:15:00,0,0
57,22/01/2016 , 02:30:00,0,0
58,22/01/2016 , 02:45:00,0,0
59,22/01/2016 , 03:00:00,0,0
60,22/01/2016 , 03:15:00,0,0
61,22/01/2016 , 03:30:00,0,0
62,22/01/2016 , 03:45:00,0,0
63,22/01/2016 , 04:00:00,0,0
64,22/01/2016 , 04:15:00,0,0
65,22/01/2016 , 04:30:00,0,0
66,22/01/2016 , 04:45:00,0,0
67,22/01/2016 , 05:00:00,0,0
