Scan No ,Date,Time,Raw,Calibrated
1,09/05/2016, 11:15:00,4314,772.2
2,09/05/2016, 11:30:00,5219,934.2
3,09/05/2016, 11:45:00,4993,893.7
4,09/05/2016, 12:00:00,4502,805.8
5,09/05/2016, 12:15:00,5166,924.7
6,09/05/2016, 12:30:00,5806,1039.2
7,09/05/2016, 12:45:00,6607,1182.6
8,09/05/2016, 13:00:00,6342,1135.2
9,09/05/2016, 13:15:00,5940,1063.2
10,09/05/2016, 13:30:00,5620,1005.9
11,09/05/2016, 13:45:00,6848,1225.7
12,09/05/2016, 14:00:00,5688,1018.1
13,09/05/2016, 14:15:00,5498,984.1
14,09/05/2016, 14:30:00,4776,854.9
15,09/05/2016, 14:45:00,4003,716.5
16,09/05/2016, 15:00:00,3513,628.8
17,09/05/2016, 15:15:00,3516,629.3
18,09/05/2016, 15:30:00,3162,566
19,09/05/2016, 15:45:00,2615,468.1
20,09/05/2016, 16:00:00,2272,406.7
21,09/05/2016, 16:15:00,2021,361.7
22,09/05/2016, 16:30:00,1766,316.1
23,09/05/2016, 16:45:00,1525,273
24,09/05/2016, 17:00:00,1269,227.1
25,09/05/2016, 17:15:00,1117,199.9
26,09/05/2016, 17:30:00,715,128
27,09/05/2016, 17:45:00,390,69.8
28,09/05/2016, 18:00:00,364,65.2
29,09/05/2016, 18:15:00,306,54.8
30,09/05/2016, 18:30:00,304,54.4
31,09/05/2016, 18:45:00,174,31.1
32,09/05/2016, 19:00:00,111,19.9
33,09/05/2016, 19:15:00,23,4.1
34,09/05/2016, 19:30:00,0,0
35,09/05/2016, 19:45:00,0,0
36,09/05/2016, 20:00:00,0,0
37,09/05/2016, 20:15:00,0,0
38,09/05/2016, 20:30:00,0,0
39,09/05/2016, 20:45:00,0,0
40,09/05/2016, 21:00:00,0,0
41,09/05/2016, 21:15:00,0,0
42,09/05/2016, 21:30:00,0,0
43,09/05/2016, 21:45:00,0,0
44,09/05/2016, 22:00:00,0,0
45,09/05/2016, 22:15:00,0,0
46,09/05/2016, 22:30:00,0,0
47,09/05/2016, 22:45:00,0,0
48,09/05/2016, 23:00:00,0,0
49,09/05/2016, 23:15:00,0,0
50,09/05/2016, 23:30:00,0,0
51,09/05/2016, 23:45:00,0,0
52,09/05/2016, 24:00:00,0,0
53,10/05/2016, 00:15:00,0,0
54,10/05/2016, 00:30:00,0,0
55,10/05/2016, 00:45:00,0,0
56,10/05/2016, 01:00:00,0,0
57,10/05/2016, 01:15:00,0,0
58,10/05/2016, 01:30:00,0,0
59,10/05/2016, 01:45:00,0,0
60,10/05/2016, 02:00:00,0,0
61,10/05/2016, 02:15:00,0,0
62,10/05/2016, 02:30:00,0,0
63,10/05/2016, 02:45:00,0,0
64,10/05/2016, 03:00:00,0,0
65,10/05/2016, 03:15:00,0,0
66,10/05/2016, 03:30:00,0,0
67,10/05/2016, 03:45:00,0,0
68,10/05/2016, 04:00:00,0,0
69,10/05/2016, 04:15:00,0,0
70,10/05/2016, 04:30:00,0,0
71,10/05/2016, 04:45:00,0,0
72,10/05/2016, 05:00:00,0,0
73,10/05/2016, 05:15:00,0,0
74,10/05/2016, 05:30:00,0,0
75,10/05/2016, 05:45:00,0,0
76,10/05/2016, 06:00:00,13,2.3
77,10/05/2016, 06:15:00,97,17.4
78,10/05/2016, 06:30:00,265,47.4
79,10/05/2016, 06:45:00,462,82.7
80,10/05/2016, 07:00:00,673,120.5
81,10/05/2016, 07:15:00,983,175.9
82,10/05/2016, 07:30:00,1269,227.1
83,10/05/2016, 07:45:00,1965,351.7
84,10/05/2016, 08:00:00,2786,498.7
85,10/05/2016, 08:15:00,6156,1101.9
86,10/05/2016, 08:30:00,8750,1566.2
87,10/05/2016, 08:45:00,9289,1662.6
88,10/05/2016, 09:00:00,13257,2372.9
89,10/05/2016, 09:15:00,12126,2170.4
90,10/05/2016, 09:30:00,9685,1733.5
91,10/05/2016, 09:45:00,15201,2720.8
