Logging number,Date,Time,Temp
1,2015/11/30,13:45,25.708
2,2015/11/30,14:00,25.61
3,2015/11/30,14:15,25.61
4,2015/11/30,14:30,25.61
5,2015/11/30,14:45,25.61
6,2015/11/30,15:00,25.61
7,2015/11/30,15:15,25.61
8,2015/11/30,15:30,25.61
9,2015/11/30,15:45,25.513
10,2015/11/30,16:00,25.61
11,2015/11/30,16:15,25.513
12,2015/11/30,16:30,25.61
13,2015/11/30,16:45,25.513
14,2015/11/30,17:00,25.513
15,2015/11/30,17:15,25.513
16,2015/11/30,17:30,25.319
17,2015/11/30,17:45,25.319
18,2015/11/30,18:00,25.319
19,2015/11/30,18:15,25.222
20,2015/11/30,18:30,25.222
21,2015/11/30,18:45,25.125
22,2015/11/30,19:00,25.125
23,2015/11/30,19:15,25.125
24,2015/11/30,19:30,25.125
25,2015/11/30,19:45,25.028
26,2015/11/30,20:00,25.028
27,2015/11/30,20:15,25.028
28,2015/11/30,20:30,25.028
29,2015/11/30,20:45,24.931
30,2015/11/30,21:00,24.931
31,2015/11/30,21:15,24.931
32,2015/11/30,21:30,24.931
33,2015/11/30,21:45,24.931
34,2015/11/30,22:00,24.835
35,2015/11/30,22:15,24.835
36,2015/11/30,22:30,24.835
37,2015/11/30,22:45,24.835
38,2015/11/30,23:00,24.738
39,2015/11/30,23:15,24.738
40,2015/11/30,23:30,24.931
41,2015/11/30,23:45,25.125
42,2015/12/01,0:00,25.222
43,2015/12/01,0:15,25.319
44,2015/12/01,0:30,25.319
45,2015/12/01,0:45,25.319
46,2015/12/01,1:00,25.319
47,2015/12/01,1:15,25.319
48,2015/12/01,1:30,25.319
49,2015/12/01,1:45,25.319
50,2015/12/01,2:00,25.319
51,2015/12/01,2:15,25.319
52,2015/12/01,2:30,25.319
53,2015/12/01,2:45,25.125
54,2015/12/01,3:00,25.125
55,2015/12/01,3:15,25.222
56,2015/12/01,3:30,24.931
57,2015/12/01,3:45,24.931
58,2015/12/01,4:00,24.931
59,2015/12/01,4:15,25.125
60,2015/12/01,4:30,25.222
61,2015/12/01,4:45,25.222
62,2015/12/01,5:00,24.931
63,2015/12/01,5:15,25.125
64,2015/12/01,5:30,25.125
65,2015/12/01,5:45,25.222
66,2015/12/01,6:00,25.222
67,2015/12/01,6:15,25.222
68,2015/12/01,6:30,25.222
69,2015/12/01,6:45,25.125
70,2015/12/01,7:00,25.028
71,2015/12/01,7:15,24.931
72,2015/12/01,7:30,25.028
73,2015/12/01,7:45,25.125
74,2015/12/01,8:00,25.125
75,2015/12/01,8:15,25.125
76,2015/12/01,8:30,25.222
77,2015/12/01,8:45,25.319
78,2015/12/01,9:00,25.222
79,2015/12/01,9:15,24.931
80,2015/12/01,9:30,25.125
81,2015/12/01,9:45,25.125
82,2015/12/01,10:00,25.222
83,2015/12/01,10:15,25.319
84,2015/12/01,10:30,25.416
85,2015/12/01,10:45,25.513
86,2015/12/01,11:00,25.513
87,2015/12/01,11:15,25.513
88,2015/12/01,11:30,25.61
89,2015/12/01,11:45,25.61
90,2015/12/01,12:00,25.61
91,2015/12/01,12:15,25.61
92,2015/12/01,12:30,25.61
93,2015/12/01,12:45,25.61
