Logging number,Date,Time,Temp
1,2015/04/15,12:00,25.453
2,2015/04/15,12:15,25.453
3,2015/04/15,12:30,25.55
4,2015/04/15,12:45,25.598
5,2015/04/15,13:00,25.623
6,2015/04/15,13:15,25.623
7,2015/04/15,13:30,25.623
8,2015/04/15,13:45,25.598
9,2015/04/15,14:00,25.623
10,2015/04/15,14:15,25.647
11,2015/04/15,14:30,25.72
12,2015/04/15,14:45,25.72
13,2015/04/15,15:00,25.72
14,2015/04/15,15:15,25.72
15,2015/04/15,15:30,25.671
16,2015/04/15,15:45,25.55
17,2015/04/15,16:00,25.453
18,2015/04/15,16:15,25.428
19,2015/04/15,16:30,25.647
20,2015/04/15,16:45,25.671
21,2015/04/15,17:00,25.647
22,2015/04/15,17:15,25.671
23,2015/04/15,17:30,25.72
24,2015/04/15,17:45,25.744
25,2015/04/15,18:00,25.72
26,2015/04/15,18:15,25.695
27,2015/04/15,18:30,25.695
28,2015/04/15,18:45,25.695
29,2015/04/15,19:00,25.695
30,2015/04/15,19:15,25.671
31,2015/04/15,19:30,25.647
32,2015/04/15,19:45,25.623
33,2015/04/15,20:00,25.574
34,2015/04/15,20:15,25.574
35,2015/04/15,20:30,25.574
36,2015/04/15,20:45,25.598
37,2015/04/15,21:00,25.331
38,2015/04/15,21:15,25.355
39,2015/04/15,21:30,25.307
40,2015/04/15,21:45,25.38
41,2015/04/15,22:00,25.38
42,2015/04/15,22:15,25.355
43,2015/04/15,22:30,25.307
44,2015/04/15,22:45,25.258
45,2015/04/15,23:00,25.234
46,2015/04/15,23:15,25.186
47,2015/04/15,23:30,25.162
48,2015/04/15,23:45,25.186
49,2015/04/16,00:00,25.186
50,2015/04/16,00:15,25.186
51,2015/04/16,00:30,25.21
52,2015/04/16,00:45,25.234
53,2015/04/16,01:00,25.234
54,2015/04/16,01:15,25.283
55,2015/04/16,01:30,25.283
56,2015/04/16,01:45,25.307
57,2015/04/16,02:00,25.186
58,2015/04/16,02:15,25.162
59,2015/04/16,02:30,25.186
60,2015/04/16,02:45,25.186
61,2015/04/16,03:00,25.162
62,2015/04/16,03:15,25.113
63,2015/04/16,03:30,25.04
64,2015/04/16,03:45,24.944
65,2015/04/16,04:00,24.919
66,2015/04/16,04:15,24.75
67,2015/04/16,04:30,24.629
68,2015/04/16,04:45,24.653
69,2015/04/16,05:00,24.629
70,2015/04/16,05:15,24.605
71,2015/04/16,05:30,24.677
72,2015/04/16,05:45,24.508
73,2015/04/16,06:00,24.412
74,2015/04/16,06:15,24.436
75,2015/04/16,06:30,24.363
76,2015/04/16,06:45,24.315
77,2015/04/16,07:00,24.363
78,2015/04/16,07:15,24.363
79,2015/04/16,07:30,24.363
80,2015/04/16,07:45,24.532
81,2015/04/16,08:00,24.75
82,2015/04/16,08:15,24.895
83,2015/04/16,08:30,24.823
84,2015/04/16,08:45,24.847
85,2015/04/16,09:00,24.871
86,2015/04/16,09:15,24.944
87,2015/04/16,09:30,24.847
88,2015/04/16,09:45,24.871
89,2015/04/16,10:00,24.823
90,2015/04/16,10:15,24.871
91,2015/04/16,10:30,24.992
92,2015/04/16,10:45,25.137
93,2015/04/16,11:00,25.234
94,2015/04/16,11:15,25.258
95,2015/04/16,11:30,25.234
96,2015/04/16,11:45,25.258
97,2015/04/16,12:00,25.307
98,2015/04/16,12:15,25.38
99,2015/04/16,12:30,25.38
100,2015/04/16,12:45,25.453
101,2015/04/16,13:00,25.453
102,2015/04/16,13:15,25.477
103,2015/04/16,13:30,25.428
104,2015/04/16,13:45,25.477
105,2015/04/16,14:00,25.501
106,2015/04/16,14:15,25.574
107,2015/04/16,14:30,25.647
108,2015/04/16,14:45,25.793
109,2015/04/16,15:00,25.695
110,2015/04/16,15:15,25.695
111,2015/04/16,15:30,25.793
112,2015/04/16,15:45,25.793
113,2015/04/16,16:00,25.744
114,2015/04/16,16:15,25.793
115,2015/04/16,16:30,25.817
116,2015/04/16,16:45,25.841
117,2015/04/16,17:00,25.841
118,2015/04/16,17:15,25.841
119,2015/04/16,17:30,25.817
120,2015/04/16,17:45,25.841
121,2015/04/16,18:00,25.841
122,2015/04/16,18:15,25.817
123,2015/04/16,18:30,25.841
124,2015/04/16,18:45,25.817
125,2015/04/16,19:00,25.793
126,2015/04/16,19:15,25.768
127,2015/04/16,19:30,25.768
128,2015/04/16,19:45,25.744
129,2015/04/16,20:00,25.768
130,2015/04/16,20:15,25.768
131,2015/04/16,20:30,25.695
132,2015/04/16,20:45,25.695
133,2015/04/16,21:00,25.768
134,2015/04/16,21:15,25.72
135,2015/04/16,21:30,25.647
136,2015/04/16,21:45,25.574
137,2015/04/16,22:00,25.623
138,2015/04/16,22:15,25.89
139,2015/04/16,22:30,25.866
140,2015/04/16,22:45,25.866
141,2015/04/16,23:00,25.793
142,2015/04/16,23:15,25.744
143,2015/04/16,23:30,25.72
144,2015/04/16,23:45,25.671
145,2015/04/17,00:00,25.623
146,2015/04/17,00:15,25.428
147,2015/04/17,00:30,25.525
148,2015/04/17,00:45,25.428
149,2015/04/17,01:00,25.38
150,2015/04/17,01:15,25.428
151,2015/04/17,01:30,25.404
152,2015/04/17,01:45,25.404
153,2015/04/17,02:00,25.331
154,2015/04/17,02:15,25.428
155,2015/04/17,02:30,25.501
156,2015/04/17,02:45,25.525
157,2015/04/17,03:00,25.525
158,2015/04/17,03:15,25.525
159,2015/04/17,03:30,25.501
160,2015/04/17,03:45,25.525
161,2015/04/17,04:00,25.55
162,2015/04/17,04:15,25.574
163,2015/04/17,04:30,25.55
164,2015/04/17,04:45,25.525
165,2015/04/17,05:00,25.525
166,2015/04/17,05:15,25.477
167,2015/04/17,05:30,25.477
168,2015/04/17,05:45,25.453
169,2015/04/17,06:00,25.404
170,2015/04/17,06:15,25.355
171,2015/04/17,06:30,24.992
172,2015/04/17,06:45,25.307
173,2015/04/17,07:00,24.847
174,2015/04/17,07:15,24.871
175,2015/04/17,07:30,24.798
176,2015/04/17,07:45,24.629
177,2015/04/17,08:00,24.847
178,2015/04/17,08:15,24.774
179,2015/04/17,08:30,24.919
180,2015/04/17,08:45,25.065
181,2015/04/17,09:00,25.283
182,2015/04/17,09:15,25.501
183,2015/04/17,09:30,25.501
184,2015/04/17,09:45,25.525
185,2015/04/17,10:00,25.428
186,2015/04/17,10:15,25.525
187,2015/04/17,10:30,25.623
188,2015/04/17,10:45,25.671
189,2015/04/17,11:00,25.744
190,2015/04/17,11:15,25.744
191,2015/04/17,11:30,25.768
192,2015/04/17,11:45,25.744
193,2015/04/17,12:00,25.72
194,2015/04/17,12:15,25.866
195,2015/04/17,12:30,25.987
196,2015/04/17,12:45,25.987
197,2015/04/17,13:00,25.987
198,2015/04/17,13:15,26.061
199,2015/04/17,13:30,26.085
200,2015/04/17,13:45,26.182
201,2015/04/17,14:00,26.231
202,2015/04/17,14:15,26.182
203,2015/04/17,14:30,26.182
204,2015/04/17,14:45,26.182
205,2015/04/17,15:00,26.109
206,2015/04/17,15:15,25.987
207,2015/04/17,15:30,26.109
208,2015/04/17,15:45,26.109
209,2015/04/17,16:00,26.134
210,2015/04/17,16:15,26.256
211,2015/04/17,16:30,26.207
212,2015/04/17,16:45,26.158
213,2015/04/17,17:00,26.182
214,2015/04/17,17:15,26.231
215,2015/04/17,17:30,26.158
216,2015/04/17,17:45,26.158
217,2015/04/17,18:00,26.134
218,2015/04/17,18:15,26.109
219,2015/04/17,18:30,26.085
220,2015/04/17,18:45,26.085
221,2015/04/17,19:00,26.036
222,2015/04/17,19:15,26.061
223,2015/04/17,19:30,26.134
224,2015/04/17,19:45,26.085
225,2015/04/17,20:00,26.061
226,2015/04/17,20:15,26.012
227,2015/04/17,20:30,25.939
228,2015/04/17,20:45,25.817
229,2015/04/17,21:00,25.841
230,2015/04/17,21:15,25.841
231,2015/04/17,21:30,25.963
232,2015/04/17,21:45,25.939
233,2015/04/17,22:00,25.914
234,2015/04/17,22:15,26.012
235,2015/04/17,22:30,25.987
236,2015/04/17,22:45,25.963
237,2015/04/17,23:00,25.914
238,2015/04/17,23:15,25.89
239,2015/04/17,23:30,25.939
240,2015/04/17,23:45,25.963
241,2015/04/18,00:00,25.963
242,2015/04/18,00:15,25.963
243,2015/04/18,00:30,25.963
244,2015/04/18,00:45,25.939
245,2015/04/18,01:00,25.939
246,2015/04/18,01:15,25.89
247,2015/04/18,01:30,25.793
248,2015/04/18,01:45,25.793
249,2015/04/18,02:00,25.841
250,2015/04/18,02:15,25.768
251,2015/04/18,02:30,25.744
252,2015/04/18,02:45,25.671
253,2015/04/18,03:00,25.695
254,2015/04/18,03:15,25.695
255,2015/04/18,03:30,25.671
256,2015/04/18,03:45,25.671
257,2015/04/18,04:00,25.647
258,2015/04/18,04:15,25.623
259,2015/04/18,04:30,25.623
260,2015/04/18,04:45,25.623
261,2015/04/18,05:00,25.623
262,2015/04/18,05:15,25.598
263,2015/04/18,05:30,25.598
264,2015/04/18,05:45,25.574
265,2015/04/18,06:00,25.574
266,2015/04/18,06:15,25.574
267,2015/04/18,06:30,25.574
268,2015/04/18,06:45,25.598
269,2015/04/18,07:00,25.598
270,2015/04/18,07:15,25.598
271,2015/04/18,07:30,25.477
272,2015/04/18,07:45,25.501
273,2015/04/18,08:00,25.501
274,2015/04/18,08:15,25.453
275,2015/04/18,08:30,25.477
276,2015/04/18,08:45,25.501
277,2015/04/18,09:00,25.355
278,2015/04/18,09:15,25.453
279,2015/04/18,09:30,25.623
280,2015/04/18,09:45,25.598
281,2015/04/18,10:00,25.623
282,2015/04/18,10:15,25.695
283,2015/04/18,10:30,25.72
284,2015/04/18,10:45,25.768
285,2015/04/18,11:00,25.744
286,2015/04/18,11:15,25.744
287,2015/04/18,11:30,25.768
288,2015/04/18,11:45,25.768
289,2015/04/18,12:00,25.866
290,2015/04/18,12:15,25.939
291,2015/04/18,12:30,25.987
292,2015/04/18,12:45,25.987
293,2015/04/18,13:00,26.012
294,2015/04/18,13:15,26.061
295,2015/04/18,13:30,26.109
296,2015/04/18,13:45,26.182
297,2015/04/18,14:00,26.207
298,2015/04/18,14:15,26.207
299,2015/04/18,14:30,26.207
300,2015/04/18,14:45,26.231
301,2015/04/18,15:00,26.231
302,2015/04/18,15:15,26.182
