Logging number,Date,Time,Temp
1,2015/02/25,10:30,24.919
2,2015/02/25,10:45,24.557
3,2015/02/25,11:00,24.508
4,2015/02/25,11:15,24.581
5,2015/02/25,11:30,24.508
6,2015/02/25,11:45,24.508
7,2015/02/25,12:00,24.557
8,2015/02/25,12:15,24.557
9,2015/02/25,12:30,24.291
10,2015/02/25,12:45,24.436
11,2015/02/25,13:00,24.532
12,2015/02/25,13:15,24.484
13,2015/02/25,13:30,24.653
14,2015/02/25,13:45,24.653
15,2015/02/25,14:00,24.677
16,2015/02/25,14:15,24.629
17,2015/02/25,14:30,24.629
18,2015/02/25,14:45,24.629
19,2015/02/25,15:00,24.677
20,2015/02/25,15:15,24.677
21,2015/02/25,15:30,24.702
22,2015/02/25,15:45,24.702
23,2015/02/25,16:00,24.702
24,2015/02/25,16:15,24.677
25,2015/02/25,16:30,24.677
26,2015/02/25,16:45,24.653
27,2015/02/25,17:00,24.653
28,2015/02/25,17:15,24.653
29,2015/02/25,17:30,24.605
30,2015/02/25,17:45,24.581
31,2015/02/25,18:00,24.557
32,2015/02/25,18:15,24.532
33,2015/02/25,18:30,24.508
34,2015/02/25,18:45,24.508
35,2015/02/25,19:00,24.508
36,2015/02/25,19:15,24.46
37,2015/02/25,19:30,24.436
38,2015/02/25,19:45,24.46
39,2015/02/25,20:00,24.46
40,2015/02/25,20:15,24.412
41,2015/02/25,20:30,24.412
42,2015/02/25,20:45,24.412
43,2015/02/25,21:00,24.388
44,2015/02/25,21:15,24.363
45,2015/02/25,21:30,24.315
46,2015/02/25,21:45,24.363
47,2015/02/25,22:00,24.388
48,2015/02/25,22:15,24.339
49,2015/02/25,22:30,24.363
50,2015/02/25,22:45,24.363
51,2015/02/25,23:00,24.339
52,2015/02/25,23:15,24.315
53,2015/02/25,23:30,24.339
54,2015/02/25,23:45,24.339
55,2015/02/26,00:00,24.315
56,2015/02/26,00:15,24.339
57,2015/02/26,00:30,24.339
58,2015/02/26,00:45,24.315
59,2015/02/26,01:00,24.315
60,2015/02/26,01:15,24.291
61,2015/02/26,01:30,24.291
62,2015/02/26,01:45,24.315
63,2015/02/26,02:00,24.291
64,2015/02/26,02:15,24.315
65,2015/02/26,02:30,24.291
66,2015/02/26,02:45,24.315
67,2015/02/26,03:00,24.315
68,2015/02/26,03:15,24.315
69,2015/02/26,03:30,24.315
70,2015/02/26,03:45,24.315
71,2015/02/26,04:00,24.339
72,2015/02/26,04:15,24.339
73,2015/02/26,04:30,24.291
74,2015/02/26,04:45,24.291
75,2015/02/26,05:00,24.267
76,2015/02/26,05:15,24.267
77,2015/02/26,05:30,24.267
78,2015/02/26,05:45,24.243
79,2015/02/26,06:00,24.267
80,2015/02/26,06:15,24.267
81,2015/02/26,06:30,24.267
82,2015/02/26,06:45,24.267
83,2015/02/26,07:00,24.267
84,2015/02/26,07:15,24.267
85,2015/02/26,07:30,24.267
86,2015/02/26,07:45,24.315
87,2015/02/26,08:00,24.339
88,2015/02/26,08:15,24.315
89,2015/02/26,08:30,24.315
90,2015/02/26,08:45,24.339
91,2015/02/26,09:00,24.436
92,2015/02/26,09:15,24.484
93,2015/02/26,09:30,24.508
94,2015/02/26,09:45,24.823
95,2015/02/26,10:00,24.798
96,2015/02/26,10:15,25.04
97,2015/02/26,10:30,24.847
98,2015/02/26,10:45,24.774
99,2015/02/26,11:00,25.04
100,2015/02/26,11:15,24.823
101,2015/02/26,11:30,24.968
102,2015/02/26,11:45,24.798
103,2015/02/26,12:00,25.016
104,2015/02/26,12:15,25.283
105,2015/02/26,12:30,25.258
106,2015/02/26,12:45,24.968
107,2015/02/26,13:00,25.016
108,2015/02/26,13:15,25.186
109,2015/02/26,13:30,25.234
110,2015/02/26,13:45,25.307
111,2015/02/26,14:00,25.355
112,2015/02/26,14:15,25.404
113,2015/02/26,14:30,25.331
114,2015/02/26,14:45,25.283
115,2015/02/26,15:00,25.38
116,2015/02/26,15:15,25.016
117,2015/02/26,15:30,25.089
118,2015/02/26,15:45,25.137
119,2015/02/26,16:00,25.016
120,2015/02/26,16:15,24.968
121,2015/02/26,16:30,24.992
122,2015/02/26,16:45,25.428
123,2015/02/26,17:00,25.598
124,2015/02/26,17:15,25.695
125,2015/02/26,17:30,25.89
126,2015/02/26,17:45,26.134
127,2015/02/26,18:00,25.671
128,2015/02/26,18:15,26.012
129,2015/02/26,18:30,26.061
130,2015/02/26,18:45,26.012
131,2015/02/26,19:00,25.914
132,2015/02/26,19:15,25.841
133,2015/02/26,19:30,25.647
134,2015/02/26,19:45,25.793
135,2015/02/26,20:00,25.574
136,2015/02/26,20:15,25.38
137,2015/02/26,20:30,25.113
138,2015/02/26,20:45,24.992
139,2015/02/26,21:00,24.968
140,2015/02/26,21:15,24.968
141,2015/02/26,21:30,24.992
142,2015/02/26,21:45,25.016
143,2015/02/26,22:00,24.992
144,2015/02/26,22:15,24.968
145,2015/02/26,22:30,24.944
146,2015/02/26,22:45,24.919
147,2015/02/26,23:00,24.944
148,2015/02/26,23:15,24.919
149,2015/02/26,23:30,24.871
150,2015/02/26,23:45,24.895
151,2015/02/27,00:00,24.847
152,2015/02/27,00:15,24.847
153,2015/02/27,00:30,24.871
154,2015/02/27,00:45,24.847
155,2015/02/27,01:00,24.871
156,2015/02/27,01:15,24.871
157,2015/02/27,01:30,24.895
158,2015/02/27,01:45,24.871
159,2015/02/27,02:00,24.871
160,2015/02/27,02:15,24.919
161,2015/02/27,02:30,24.919
162,2015/02/27,02:45,24.895
163,2015/02/27,03:00,24.871
164,2015/02/27,03:15,24.895
165,2015/02/27,03:30,24.895
166,2015/02/27,03:45,24.702
167,2015/02/27,04:00,24.653
168,2015/02/27,04:15,24.629
169,2015/02/27,04:30,24.653
170,2015/02/27,04:45,24.581
171,2015/02/27,05:00,24.605
172,2015/02/27,05:15,24.75
173,2015/02/27,05:30,24.774
174,2015/02/27,05:45,24.798
175,2015/02/27,06:00,24.75
176,2015/02/27,06:15,24.774
177,2015/02/27,06:30,24.774
