Logging number,Date,Time,Temp
1,2015/04/15,12:30,24.823
2,2015/04/15,12:45,24.823
3,2015/04/15,13:00,24.895
4,2015/04/15,13:15,24.895
5,2015/04/15,13:30,25.016
6,2015/04/15,13:45,25.016
7,2015/04/15,14:00,25.016
8,2015/04/15,14:15,25.016
9,2015/04/15,14:30,24.992
10,2015/04/15,14:45,25.016
11,2015/04/15,15:00,25.04
12,2015/04/15,15:15,25.065
13,2015/04/15,15:30,25.089
14,2015/04/15,15:45,25.089
15,2015/04/15,16:00,25.089
16,2015/04/15,16:15,25.089
17,2015/04/15,16:30,25.089
18,2015/04/15,16:45,25.065
19,2015/04/15,17:00,25.016
20,2015/04/15,17:15,24.992
21,2015/04/15,17:30,24.992
22,2015/04/15,17:45,24.919
23,2015/04/15,18:00,24.895
24,2015/04/15,18:15,24.871
25,2015/04/15,18:30,24.823
26,2015/04/15,18:45,24.823
27,2015/04/15,19:00,24.798
28,2015/04/15,19:15,24.798
29,2015/04/15,19:30,24.774
30,2015/04/15,19:45,24.75
31,2015/04/15,20:00,24.726
32,2015/04/15,20:15,24.726
33,2015/04/15,20:30,24.75
34,2015/04/15,20:45,24.798
35,2015/04/15,21:00,24.919
36,2015/04/15,21:15,24.992
37,2015/04/15,21:30,24.992
38,2015/04/15,21:45,24.992
39,2015/04/15,22:00,24.968
40,2015/04/15,22:15,24.919
41,2015/04/15,22:30,24.871
42,2015/04/15,22:45,24.847
43,2015/04/15,23:00,24.823
44,2015/04/15,23:15,24.774
45,2015/04/15,23:30,24.75
46,2015/04/15,23:45,24.702
47,2015/04/16,0:00,24.702
48,2015/04/16,0:15,24.653
49,2015/04/16,0:30,24.629
50,2015/04/16,0:45,24.605
51,2015/04/16,1:00,24.605
52,2015/04/16,1:15,24.581
53,2015/04/16,1:30,24.581
54,2015/04/16,1:45,24.581
55,2015/04/16,2:00,24.557
56,2015/04/16,2:15,24.557
57,2015/04/16,2:30,24.557
58,2015/04/16,2:45,24.605
59,2015/04/16,3:00,24.653
60,2015/04/16,3:15,24.581
61,2015/04/16,3:30,24.557
62,2015/04/16,3:45,24.557
63,2015/04/16,4:00,24.581
64,2015/04/16,4:15,24.557
65,2015/04/16,4:30,24.581
66,2015/04/16,4:45,24.557
67,2015/04/16,5:00,24.581
68,2015/04/16,5:15,24.605
69,2015/04/16,5:30,24.581
70,2015/04/16,5:45,24.581
71,2015/04/16,6:00,24.581
72,2015/04/16,6:15,24.557
73,2015/04/16,6:30,24.581
74,2015/04/16,6:45,24.581
75,2015/04/16,7:00,24.581
76,2015/04/16,7:15,24.581
77,2015/04/16,7:30,24.557
78,2015/04/16,7:45,24.605
79,2015/04/16,8:00,24.653
80,2015/04/16,8:15,24.726
81,2015/04/16,8:30,24.774
82,2015/04/16,8:45,24.823
83,2015/04/16,9:00,24.871
84,2015/04/16,9:15,24.919
85,2015/04/16,9:30,24.944
86,2015/04/16,9:45,25.016
87,2015/04/16,10:00,25.016
88,2015/04/16,10:15,25.016
89,2015/04/16,10:30,24.871
90,2015/04/16,10:45,24.968
91,2015/04/16,11:00,25.065
92,2015/04/16,11:15,25.089
93,2015/04/16,11:30,25.137
94,2015/04/16,11:45,25.234
95,2015/04/16,12:00,25.331
96,2015/04/16,12:15,25.38
97,2015/04/16,12:30,25.453
98,2015/04/16,12:45,25.404
99,2015/04/16,13:00,25.404
100,2015/04/16,13:15,25.501
101,2015/04/16,13:30,25.404
102,2015/04/16,13:45,25.453
103,2015/04/16,14:00,25.404
104,2015/04/16,14:15,25.453
105,2015/04/16,14:30,25.477
106,2015/04/16,14:45,25.453
107,2015/04/16,15:00,25.477
108,2015/04/16,15:15,25.428
109,2015/04/16,15:30,25.38
110,2015/04/16,15:45,25.428
111,2015/04/16,16:00,25.38
112,2015/04/16,16:15,25.355
113,2015/04/16,16:30,25.38
114,2015/04/16,16:45,25.307
115,2015/04/16,17:00,25.307
116,2015/04/16,17:15,25.258
117,2015/04/16,17:30,25.21
118,2015/04/16,17:45,25.137
119,2015/04/16,18:00,25.089
120,2015/04/16,18:15,25.065
121,2015/04/16,18:30,25.016
122,2015/04/16,18:45,24.992
123,2015/04/16,19:00,24.968
124,2015/04/16,19:15,24.944
125,2015/04/16,19:30,24.944
126,2015/04/16,19:45,24.944
127,2015/04/16,20:00,24.919
128,2015/04/16,20:15,24.919
129,2015/04/16,20:30,24.919
130,2015/04/16,20:45,24.895
131,2015/04/16,21:00,24.895
132,2015/04/16,21:15,24.895
133,2015/04/16,21:30,24.847
134,2015/04/16,21:45,24.823
135,2015/04/16,22:00,24.919
136,2015/04/16,22:15,24.919
137,2015/04/16,22:30,24.944
138,2015/04/16,22:45,24.944
139,2015/04/16,23:00,24.919
140,2015/04/16,23:15,24.895
141,2015/04/16,23:30,24.847
142,2015/04/16,23:45,24.823
143,2015/04/17,0:00,24.798
144,2015/04/17,0:15,24.726
145,2015/04/17,0:30,24.702
146,2015/04/17,0:45,24.677
147,2015/04/17,1:00,24.629
148,2015/04/17,1:15,24.629
149,2015/04/17,1:30,24.605
150,2015/04/17,1:45,24.605
151,2015/04/17,2:00,24.653
152,2015/04/17,2:15,24.677
153,2015/04/17,2:30,24.677
154,2015/04/17,2:45,24.653
155,2015/04/17,3:00,24.653
156,2015/04/17,3:15,24.653
157,2015/04/17,3:30,24.653
158,2015/04/17,3:45,24.629
159,2015/04/17,4:00,24.629
160,2015/04/17,4:15,24.653
161,2015/04/17,4:30,24.702
162,2015/04/17,4:45,24.702
163,2015/04/17,5:00,24.677
164,2015/04/17,5:15,24.677
165,2015/04/17,5:30,24.677
166,2015/04/17,5:45,24.702
167,2015/04/17,6:00,24.677
168,2015/04/17,6:15,24.677
169,2015/04/17,6:30,24.677
170,2015/04/17,6:45,24.702
171,2015/04/17,7:00,24.702
172,2015/04/17,7:15,24.726
173,2015/04/17,7:30,24.726
174,2015/04/17,7:45,24.75
175,2015/04/17,8:00,24.774
176,2015/04/17,8:15,24.774
177,2015/04/17,8:30,24.823
178,2015/04/17,8:45,24.871
179,2015/04/17,9:00,24.919
180,2015/04/17,9:15,24.968
181,2015/04/17,9:30,25.016
182,2015/04/17,9:45,25.04
183,2015/04/17,10:00,25.113
184,2015/04/17,10:15,25.137
185,2015/04/17,10:30,25.162
186,2015/04/17,10:45,25.186
187,2015/04/17,11:00,25.162
188,2015/04/17,11:15,25.065
189,2015/04/17,11:30,25.089
190,2015/04/17,11:45,25.113
191,2015/04/17,12:00,25.186
192,2015/04/17,12:15,25.21
193,2015/04/17,12:30,25.234
194,2015/04/17,12:45,25.21
195,2015/04/17,13:00,25.21
196,2015/04/17,13:15,25.234
197,2015/04/17,13:30,25.234
198,2015/04/17,13:45,25.283
199,2015/04/17,14:00,25.355
200,2015/04/17,14:15,25.38
201,2015/04/17,14:30,25.38
202,2015/04/17,14:45,25.428
203,2015/04/17,15:00,25.453
204,2015/04/17,15:15,25.428
205,2015/04/17,15:30,25.428
206,2015/04/17,15:45,25.428
207,2015/04/17,16:00,25.428
208,2015/04/17,16:15,25.404
209,2015/04/17,16:30,25.38
210,2015/04/17,16:45,25.355
211,2015/04/17,17:00,25.283
212,2015/04/17,17:15,25.21
213,2015/04/17,17:30,25.186
214,2015/04/17,17:45,25.113
215,2015/04/17,18:00,25.089
216,2015/04/17,18:15,25.04
217,2015/04/17,18:30,25.016
218,2015/04/17,18:45,25.016
219,2015/04/17,19:00,25.016
220,2015/04/17,19:15,24.992
221,2015/04/17,19:30,24.992
222,2015/04/17,19:45,24.992
223,2015/04/17,20:00,24.968
224,2015/04/17,20:15,24.968
225,2015/04/17,20:30,24.944
226,2015/04/17,20:45,24.944
227,2015/04/17,21:00,24.919
228,2015/04/17,21:15,24.895
229,2015/04/17,21:30,24.871
230,2015/04/17,21:45,24.823
231,2015/04/17,22:00,24.919
232,2015/04/17,22:15,24.968
233,2015/04/17,22:30,24.992
234,2015/04/17,22:45,24.992
235,2015/04/17,23:00,24.944
236,2015/04/17,23:15,24.895
237,2015/04/17,23:30,24.871
238,2015/04/17,23:45,24.871
239,2015/04/18,0:00,24.871
240,2015/04/18,0:15,24.871
241,2015/04/18,0:30,24.871
242,2015/04/18,0:45,24.847
243,2015/04/18,1:00,24.823
244,2015/04/18,1:15,24.823
245,2015/04/18,1:30,24.823
246,2015/04/18,1:45,24.847
247,2015/04/18,2:00,24.847
248,2015/04/18,2:15,24.847
249,2015/04/18,2:30,24.847
250,2015/04/18,2:45,24.871
251,2015/04/18,3:00,24.871
252,2015/04/18,3:15,24.871
253,2015/04/18,3:30,24.847
254,2015/04/18,3:45,24.847
255,2015/04/18,4:00,24.823
256,2015/04/18,4:15,24.823
257,2015/04/18,4:30,24.823
258,2015/04/18,4:45,24.823
259,2015/04/18,5:00,24.823
260,2015/04/18,5:15,24.823
261,2015/04/18,5:30,24.798
262,2015/04/18,5:45,24.774
263,2015/04/18,6:00,24.75
264,2015/04/18,6:15,24.726
265,2015/04/18,6:30,24.726
266,2015/04/18,6:45,24.726
267,2015/04/18,7:00,24.75
268,2015/04/18,7:15,24.75
269,2015/04/18,7:30,24.774
270,2015/04/18,7:45,24.774
271,2015/04/18,8:00,24.798
272,2015/04/18,8:15,24.798
273,2015/04/18,8:30,24.798
274,2015/04/18,8:45,24.823
275,2015/04/18,9:00,24.823
276,2015/04/18,9:15,24.871
277,2015/04/18,9:30,24.871
278,2015/04/18,9:45,24.919
279,2015/04/18,10:00,24.968
280,2015/04/18,10:15,25.016
281,2015/04/18,10:30,25.04
282,2015/04/18,10:45,25.04
283,2015/04/18,11:00,25.04
284,2015/04/18,11:15,25.016
285,2015/04/18,11:30,25.089
286,2015/04/18,11:45,25.065
287,2015/04/18,12:00,25.065
288,2015/04/18,12:15,25.089
289,2015/04/18,12:30,25.089
290,2015/04/18,12:45,25.113
291,2015/04/18,13:00,25.089
292,2015/04/18,13:15,25.137
293,2015/04/18,13:30,25.089
294,2015/04/18,13:45,25.113
295,2015/04/18,14:00,25.137
296,2015/04/18,14:15,25.137
297,2015/04/18,14:30,25.162
298,2015/04/18,14:45,25.186
299,2015/04/18,15:00,25.186
300,2015/04/18,15:15,25.186
301,2015/04/18,15:30,25.21
302,2015/04/18,15:45,25.186
303,2015/04/18,16:00,25.21
304,2015/04/18,16:15,25.186
305,2015/04/18,16:30,25.162
306,2015/04/18,16:45,25.113
307,2015/04/18,17:00,25.089
308,2015/04/18,17:15,25.04
309,2015/04/18,17:30,25.04
310,2015/04/18,17:45,25.016
311,2015/04/18,18:00,24.992
312,2015/04/18,18:15,24.968
313,2015/04/18,18:30,24.944
314,2015/04/18,18:45,24.919
315,2015/04/18,19:00,24.919
316,2015/04/18,19:15,24.919
317,2015/04/18,19:30,24.919
318,2015/04/18,19:45,24.895
319,2015/04/18,20:00,24.895
320,2015/04/18,20:15,24.895
321,2015/04/18,20:30,24.895
322,2015/04/18,20:45,24.895
323,2015/04/18,21:00,24.871
324,2015/04/18,21:15,24.871
325,2015/04/18,21:30,24.871
326,2015/04/18,21:45,24.847
327,2015/04/18,22:00,24.847
328,2015/04/18,22:15,24.823
329,2015/04/18,22:30,24.774
330,2015/04/18,22:45,24.726
331,2015/04/18,23:00,24.702
332,2015/04/18,23:15,24.702
333,2015/04/18,23:30,24.677
334,2015/04/18,23:45,24.653
335,2015/04/19,0:00,24.605
336,2015/04/19,0:15,24.484
337,2015/04/19,0:30,24.46
338,2015/04/19,0:45,24.363
339,2015/04/19,1:00,24.363
340,2015/04/19,1:15,24.388
341,2015/04/19,1:30,24.436
342,2015/04/19,1:45,24.46
343,2015/04/19,2:00,24.436
344,2015/04/19,2:15,24.532
345,2015/04/19,2:30,24.557
346,2015/04/19,2:45,24.605
347,2015/04/19,3:00,24.605
348,2015/04/19,3:15,24.653
349,2015/04/19,3:30,24.702
350,2015/04/19,3:45,24.726
351,2015/04/19,4:00,24.726
352,2015/04/19,4:15,24.726
353,2015/04/19,4:30,24.726
