* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Users\mahdi\Desktop\Wall-Mydlarz qPCR\20151211_CW_Mydlarz-plate5.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1	Recovery-2015-55	C	UNKNOWN	VIC	NFQ-MGB	29.4415	29.1077	0.472				false	0.01	false	3	20		N	N
A1	Recovery-2015-55	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A2	Recovery-2015-55	C	UNKNOWN	VIC	NFQ-MGB	28.7739	29.1077	0.472				false	0.01	false	3	20		N	Y
A2	Recovery-2015-55	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
A3	Recovery-2015-63	C	UNKNOWN	VIC	NFQ-MGB	39.6997	39.6997					false	0.01	false	3	20		N	Y
A3	Recovery-2015-63	D	UNKNOWN	FAM	NFQ-MGB	29.7268	29.5631	0.2314				false	0.01	false	3	20		N	Y
A4	Recovery-2015-63	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.6997					false	0.01	false	3	20		N	Y
A4	Recovery-2015-63	D	UNKNOWN	FAM	NFQ-MGB	29.3995	29.5631	0.2314				false	0.01	false	3	20		N	Y
A5	Recovery-2015-58	C	UNKNOWN	VIC	NFQ-MGB	29.5878	29.5109	0.1088				false	0.01	false	3	20		N	N
A5	Recovery-2015-58	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A6	Recovery-2015-58	C	UNKNOWN	VIC	NFQ-MGB	29.4339	29.5109	0.1088				false	0.01	false	3	20		N	N
A6	Recovery-2015-58	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A7	Recovery-2015-68	C	UNKNOWN	VIC	NFQ-MGB	27.083	26.9939	0.1261				false	0.01	false	3	20		N	Y
A7	Recovery-2015-68	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
A8	Recovery-2015-68	C	UNKNOWN	VIC	NFQ-MGB	26.9047	26.9939	0.1261				false	0.01	false	3	20		N	Y
A8	Recovery-2015-68	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
A9	Recovery-2015-46	C	UNKNOWN	VIC	NFQ-MGB	28.5262	28.5269	0.001				false	0.01	false	3	20		N	N
