* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Users\mahdi\Desktop\Wall-Mydlarz qPCR\20151204_CW_Mydlarz-plate3.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1	Recovery-2015-39	C	UNKNOWN	VIC	NFQ-MGB	33.8685	33.8685					false	0.01	false	3	20		N	N
A1	Recovery-2015-39	D	UNKNOWN	FAM	NFQ-MGB	32.4741	32.4741					false	0.01	false	3	20		N	N
A2	Recovery-2015-39	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	33.8685					false	0.01	false	3	20		N	Y
A2	Recovery-2015-39	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	32.4741					false	0.01	false	3	20		N	Y
A3	Recovery-2015-5	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.4763					false	0.01	false	3	20		Y	Y
A3	Recovery-2015-5	D	UNKNOWN	FAM	NFQ-MGB	33.8532	31.9798	2.6494				false	0.01	false	3	20		Y	Y
A4	Recovery-2015-5	C	UNKNOWN	VIC	NFQ-MGB	39.4763	39.4763					false	0.01	false	3	20		Y	N
A4	Recovery-2015-5	D	UNKNOWN	FAM	NFQ-MGB	30.1064	31.9798	2.6494				false	0.01	false	3	20		Y	N
A5	Recovery-2015-29	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	29.4837					false	0.01	false	3	20		N	Y
A5	Recovery-2015-29	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
A6	Recovery-2015-29	C	UNKNOWN	VIC	NFQ-MGB	29.4837	29.4837					false	0.01	false	3	20		N	N
A6	Recovery-2015-29	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A7	Recovery-2015-7	C	UNKNOWN	VIC	NFQ-MGB	29.5756	29.2992	0.391				false	0.01	false	3	20		N	N
A7	Recovery-2015-7	D	UNKNOWN	FAM	NFQ-MGB	34.04	34.0905	0.0715				false	0.01	false	3	20		N	N
A8	Recovery-2015-7	C	UNKNOWN	VIC	NFQ-MGB	29.0227	29.2992	0.391				false	0.01	false	3	20		N	N
A8	Recovery-2015-7	D	UNKNOWN	FAM	NFQ-MGB	34.1411	34.0905	0.0715				false	0.01	false	3	20		N	N
A9	Recovery-2015-31	C	UNKNOWN	VIC	NFQ-MGB	28.8766	28.7739	0.1452				false	0.01	false	3	20		N	N
A9	Recovery-2015-31	D	UNKNOWN	FAM	NFQ-MGB	39.6057	39.6057					false	0.01	false	3	20		N	N
A10	Recovery-2015-31	C	UNKNOWN	VIC	NFQ-MGB	28.6712	28.7739	0.1452				false	0.01	false	3	20		N	N
A10	Recovery-2015-31	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	39.6057					false	0.01	false	3	20		N	N
A11	Recovery-2015-15	C	UNKNOWN	VIC	NFQ-MGB	27.9142	28.7074	1.1219				false	0.01	false	3	20		Y	N
A11	Recovery-2015-15	D	UNKNOWN	FAM	NFQ-MGB	31.8332	32.5889	1.0686				false	0.01	false	3	20		Y	N
A12	Recovery-2015-15	C	UNKNOWN	VIC	NFQ-MGB	29.5007	28.7074	1.1219				false	0.01	false	3	20		Y	N
A12	Recovery-2015-15	D	UNKNOWN	FAM	NFQ-MGB	33.3445	32.5889	1.0686				false	0.01	false	3	20		Y	N
B1	Recovery-2015-78	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
B1	Recovery-2015-78	D	UNKNOWN	FAM	NFQ-MGB	29.4685	29.7877	0.4515				false	0.01	false	3	20		N	Y
B2	Recovery-2015-78	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B2	Recovery-2015-78	D	UNKNOWN	FAM	NFQ-MGB	30.107	29.7877	0.4515				false	0.01	false	3	20		N	N
B3	Recovery-2015-64	C	UNKNOWN	VIC	NFQ-MGB	27.2864	27.6357	0.494				false	0.01	false	3	20		N	N
B3	Recovery-2015-64	D	UNKNOWN	FAM	NFQ-MGB	30.0993	30.4426	0.4855				false	0.01	false	3	20		N	N
B4	Recovery-2015-64	C	UNKNOWN	VIC	NFQ-MGB	27.985	27.6357	0.494				false	0.01	false	3	20		N	N
B4	Recovery-2015-64	D	UNKNOWN	FAM	NFQ-MGB	30.7858	30.4426	0.4855				false	0.01	false	3	20		N	N
B5	Recovery-2015-61	C	UNKNOWN	VIC	NFQ-MGB	29.7019	29.6012	0.1424				false	0.01	false	3	20		N	N
B5	Recovery-2015-61	D	UNKNOWN	FAM	NFQ-MGB	32.5813	32.3707	0.2978				false	0.01	false	3	20		N	N
B6	Recovery-2015-61	C	UNKNOWN	VIC	NFQ-MGB	29.5005	29.6012	0.1424				false	0.01	false	3	20		N	N
B6	Recovery-2015-61	D	UNKNOWN	FAM	NFQ-MGB	32.1601	32.3707	0.2978				false	0.01	false	3	20		N	N
B7	Recovery-2015-19	C	UNKNOWN	VIC	NFQ-MGB	27.4896	27.3485	0.1996				false	0.01	false	3	20		N	N
B7	Recovery-2015-19	D	UNKNOWN	FAM	NFQ-MGB	29.1797	29.2226	0.0606				false	0.01	false	3	20		N	N
B8	Recovery-2015-19	C	UNKNOWN	VIC	NFQ-MGB	27.2073	27.3485	0.1996				false	0.01	false	3	20		N	N
B8	Recovery-2015-19	D	UNKNOWN	FAM	NFQ-MGB	29.2655	29.2226	0.0606				false	0.01	false	3	20		N	N
B9	Recovery-2015-13	C	UNKNOWN	VIC	NFQ-MGB	38.4057	38.0246	0.539				false	0.01	false	3	20		Y	N
B9	Recovery-2015-13	D	UNKNOWN	FAM	NFQ-MGB	28.6933	28.7087	0.0219				false	0.01	false	3	20		Y	N
B10	Recovery-2015-13	C	UNKNOWN	VIC	NFQ-MGB	37.6435	38.0246	0.539				false	0.01	false	3	20		Y	N
B10	Recovery-2015-13	D	UNKNOWN	FAM	NFQ-MGB	28.7242	28.7087	0.0219				false	0.01	false	3	20		Y	N
B11	Recovery-2015-12	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		Y	N
B11	Recovery-2015-12	D	UNKNOWN	FAM	NFQ-MGB	28.218	28.7031	0.686				false	0.01	false	3	20		Y	N
B12	Recovery-2015-12	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		Y	N
B12	Recovery-2015-12	D	UNKNOWN	FAM	NFQ-MGB	29.1881	28.7031	0.686				false	0.01	false	3	20		Y	N
C1	Recovery-2015-34	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
C1	Recovery-2015-34	D	UNKNOWN	FAM	NFQ-MGB	30.121	29.9971	0.1752				false	0.01	false	3	20		N	Y
C2	Recovery-2015-34	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
C2	Recovery-2015-34	D	UNKNOWN	FAM	NFQ-MGB	29.8731	29.9971	0.1752				false	0.01	false	3	20		N	N
C3	Recovery-2015-67	C	UNKNOWN	VIC	NFQ-MGB	36.3853	36.5708	0.2623				false	0.01	false	3	20		Y	N
C3	Recovery-2015-67	D	UNKNOWN	FAM	NFQ-MGB	28.9076	28.5413	0.5181				false	0.01	false	3	20		Y	N
C4	Recovery-2015-67	C	UNKNOWN	VIC	NFQ-MGB	36.7562	36.5708	0.2623				false	0.01	false	3	20		Y	N
C4	Recovery-2015-67	D	UNKNOWN	FAM	NFQ-MGB	28.1749	28.5413	0.5181				false	0.01	false	3	20		Y	N
C5	Recovery-2015-80	C	UNKNOWN	VIC	NFQ-MGB	27.9909	28.4779	0.6887				false	0.01	false	3	20		Y	N
C5	Recovery-2015-80	D	UNKNOWN	FAM	NFQ-MGB	39.4807	39.4807					false	0.01	false	3	20		Y	N
