* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Users\mahdi\Desktop\Wall-Mydlarz qPCR\alex_qPCR_1c.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1	NA																	N	N
A2	Bleaching-2015-4	C	UNKNOWN	VIC	NFQ-MGB	27.3355	27.0162	0.4514				false	0.01	false	3	20		N	N
A2	Bleaching-2015-4	D	UNKNOWN	FAM	NFQ-MGB	35.715	35.5799	0.191				false	0.01	false	3	20		N	N
A3	Bleaching-2015-8	C	UNKNOWN	VIC	NFQ-MGB	33.3571	32.8179	0.7625				false	0.01	false	3	20		Y	N
A3	Bleaching-2015-8	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		Y	N
A4	Bleaching-2015-12	C	UNKNOWN	VIC	NFQ-MGB	31.5725	31.2114	0.5107				false	0.01	false	3	20		Y	N
A4	Bleaching-2015-12	D	UNKNOWN	FAM	NFQ-MGB	36.678	36.3784	0.4237				false	0.01	false	3	20		Y	N
A5	Bleaching-2015-16	C	UNKNOWN	VIC	NFQ-MGB	37.1915	37.8565	0.9405				false	0.01	false	3	20		Y	N
A5	Bleaching-2015-16	D	UNKNOWN	FAM	NFQ-MGB	34.8297	34.3448	0.6858				false	0.01	false	3	20		Y	N
A6	Bleaching-2015-20	C	UNKNOWN	VIC	NFQ-MGB	27.9598	28.303	0.4854				false	0.01	false	3	20		N	N
A6	Bleaching-2015-20	D	UNKNOWN	FAM	NFQ-MGB	31.3387	31.5816	0.3435				false	0.01	false	3	20		N	N
A7	Bleaching-2015-44	C	UNKNOWN	VIC	NFQ-MGB	29.2996	29.0722	0.3216				false	0.01	false	3	20		N	N
A7	Bleaching-2015-44	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A8	Bleaching-2015-48	C	UNKNOWN	VIC	NFQ-MGB	30.6896	30.4733	0.3058				false	0.01	false	3	20		N	N
A8	Bleaching-2015-48	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	Bleaching-2015-52	C	UNKNOWN	VIC	NFQ-MGB	34.0303	34.1761	0.2062				false	0.01	false	3	20		N	N
A9	Bleaching-2015-52	D	UNKNOWN	FAM	NFQ-MGB	30.2511	30.2758	0.0349				false	0.01	false	3	20		N	N
A10	Bleaching-2015-56	C	UNKNOWN	VIC	NFQ-MGB	32.7541	33.0366	0.3995				false	0.01	false	3	20		Y	N
A10	Bleaching-2015-56	D	UNKNOWN	FAM	NFQ-MGB	37.8509	37.3219	0.7481				false	0.01	false	3	20		Y	N
A11	Bleaching-2015-60	C	UNKNOWN	VIC	NFQ-MGB	29.3984	29.0837	0.445				false	0.01	false	3	20		N	N
A11	Bleaching-2015-60	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.4089					false	0.01	false	3	20		N	N
A12	NA																	N	N
B1	Bleaching-2015-1	C	UNKNOWN	VIC	NFQ-MGB	36.016	34.6361	1.9514				false	0.01	false	3	20		Y	N
B1	Bleaching-2015-1	D	UNKNOWN	FAM	NFQ-MGB	28.4619	27.9076	0.7839				false	0.01	false	3	20		Y	N
B2	Bleaching-2015-4	C	UNKNOWN	VIC	NFQ-MGB	26.697	27.0162	0.4514				false	0.01	false	3	20		N	N
B2	Bleaching-2015-4	D	UNKNOWN	FAM	NFQ-MGB	35.4449	35.5799	0.191				false	0.01	false	3	20		N	N
B3	Bleaching-2015-8	C	UNKNOWN	VIC	NFQ-MGB	32.2787	32.8179	0.7625				false	0.01	false	3	20		Y	N
B3	Bleaching-2015-8	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		Y	N
B4	Bleaching-2015-12	C	UNKNOWN	VIC	NFQ-MGB	30.8503	31.2114	0.5107				false	0.01	false	3	20		Y	N
B4	Bleaching-2015-12	D	UNKNOWN	FAM	NFQ-MGB	36.0788	36.3784	0.4237				false	0.01	false	3	20		Y	N
B5	Bleaching-2015-16	C	UNKNOWN	VIC	NFQ-MGB	38.5216	37.8565	0.9405				false	0.01	false	3	20		Y	N
B5	Bleaching-2015-16	D	UNKNOWN	FAM	NFQ-MGB	33.8599	34.3448	0.6858				false	0.01	false	3	20		Y	N
B6	Bleaching-2015-20	C	UNKNOWN	VIC	NFQ-MGB	28.6463	28.303	0.4854				false	0.01	false	3	20		N	N
B6	Bleaching-2015-20	D	UNKNOWN	FAM	NFQ-MGB	31.8245	31.5816	0.3435				false	0.01	false	3	20		N	N
B7	Bleaching-2015-44	C	UNKNOWN	VIC	NFQ-MGB	28.8448	29.0722	0.3216				false	0.01	false	3	20		N	N
B7	Bleaching-2015-44	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B8	Bleaching-2015-48	C	UNKNOWN	VIC	NFQ-MGB	30.2571	30.4733	0.3058				false	0.01	false	3	20		N	N
B8	Bleaching-2015-48	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B9	Bleaching-2015-52	C	UNKNOWN	VIC	NFQ-MGB	34.3219	34.1761	0.2062				false	0.01	false	3	20		N	N
B9	Bleaching-2015-52	D	UNKNOWN	FAM	NFQ-MGB	30.3005	30.2758	0.0349				false	0.01	false	3	20		N	N
B10	Bleaching-2015-56	C	UNKNOWN	VIC	NFQ-MGB	33.3191	33.0366	0.3995				false	0.01	false	3	20		Y	N
B10	Bleaching-2015-56	D	UNKNOWN	FAM	NFQ-MGB	36.7929	37.3219	0.7481				false	0.01	false	3	20		Y	N
B11	Bleaching-2015-60	C	UNKNOWN	VIC	NFQ-MGB	28.7691	29.0837	0.445				false	0.01	false	3	20		N	N
B11	Bleaching-2015-60	D	UNKNOWN	FAM	NFQ-MGB	37.4089	37.4089					false	0.01	false	3	20		N	N
B12	DNAB	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
B12	DNAB	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
C1	Bleaching-2015-1	C	UNKNOWN	VIC	NFQ-MGB	33.2562	34.6361	1.9514				false	0.01	false	3	20		Y	N
C1	Bleaching-2015-1	D	UNKNOWN	FAM	NFQ-MGB	27.3533	27.9076	0.7839				false	0.01	false	3	20		Y	N
C2	Bleaching-2015-5	C	UNKNOWN	VIC	NFQ-MGB	32.1096	32.0547	0.0777				false	0.01	false	3	20		N	N
C2	Bleaching-2015-5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.8511					false	0.01	false	3	20		N	N
C3	Bleaching-2015-9	C	UNKNOWN	VIC	NFQ-MGB	31.5699	32.0679	0.7043				false	0.01	false	3	20		Y	N
C3	Bleaching-2015-9	D	UNKNOWN	FAM	NFQ-MGB	30.423	30.617	0.2743				false	0.01	false	3	20		Y	N
C4	Bleaching-2015-13	C	UNKNOWN	VIC	NFQ-MGB	32.1327	32.0011	0.1862				false	0.01	false	3	20		N	N
C4	Bleaching-2015-13	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
C5	Bleaching-2015-17	C	UNKNOWN	VIC	NFQ-MGB	35.4418	35.0835	0.5067				false	0.01	false	3	20		Y	N
C5	Bleaching-2015-17	D	UNKNOWN	FAM	NFQ-MGB	31.3245	30.797	0.746				false	0.01	false	3	20		Y	N
