"","Species","Period","Status","Site","Status_Site","ID","zoox","chla","chlacell","AFDW","prot","CAT","POX","SOD","PPO","MEL","coral.red.adj","coral.green.adj","coral.blue.adj","PC1","propC","propD","syms","dom"
"3","M. capitata","2014 Lab","Lab_Amb","Lilipuna.Pre","LabAmb-Lilipuna","3",1973909.08055144,5.87216588811667,2.97489177489177,20.5081462914435,0.553719949868976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001004497,0.998995503,"DC","D"
"4","M. capitata","2014 Lab","Lab_Amb","Lilipuna.Pre","LabAmb-Lilipuna","4",1065553.15492266,5.17652835747606,4.85806675486947,16.2042720353548,0.421311072919224,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"C","C"
"7","M. capitata","2014 Lab","Lab_Amb","Lilipuna.Pre","LabAmb-Lilipuna","7",1101051.40186916,5.20343033135089,4.72587412587413,24.6389124893798,0.258708581138488,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"C","C"
"9","M. capitata","2014 Lab","Lab_Amb","Lilipuna.Pre","LabAmb-Lilipuna","9",1808972.50361795,6.2937168355041,3.47916666666667,22.6121562952243,0.381391702846117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002210588,0.997789412,"DC","D"
"10","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","10",NA,NA,NA,NA,NA,140.6430172,4.130222356,9595.455287,0.108276442,0.019895325,NA,NA,NA,NA,NA,NA,NA,NA
"12","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","12",NA,NA,NA,NA,NA,106.8797999,0.717468923,6593.322691,0.047162293,0.024802854,NA,NA,NA,NA,NA,NA,NA,NA
"13","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","13",NA,NA,NA,NA,NA,133.8071104,0.494565728,10465.72483,0.131315728,0.012562096,NA,NA,NA,NA,NA,NA,NA,NA
"19","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","19",NA,NA,NA,NA,NA,156.4663845,0.295905899,7926.841309,0.083669944,0.01369832,NA,NA,NA,NA,NA,NA,NA,NA
"20","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","20",NA,NA,NA,NA,NA,129.7946213,0.246072581,8168.530446,0.043355645,0.011035455,NA,NA,NA,NA,NA,NA,NA,NA
"21","M. capitata","2014 Lab","Lab-Amb","Lilipuna.Pre","LabAmb-Lilipuna","21",NA,NA,NA,NA,NA,84.6862419,0.54,5463.252825,0.042545455,0.009202289,NA,NA,NA,NA,NA,NA,NA,NA
